Department Family ,Entity ,Date ,Expense Type ,Expense Area ,Supplier ,Transaction Number ,Amount ,Invoice Description ,Postal Code ,Supplier Type ,Contract Number ,Project Code ,Expenditure Type 
Crown Prosecution Service,Crown Prosecution Service,10/11/2011,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,101111,"57,980.90",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/11/2011,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,101111,"16,226.48",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/11/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,101111,"4,172.36",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/11/2011,Rent,Corporate,DTZ Debenham Tie Leung,101111,"54,341.31",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,241111,"12,970.36",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,241111,"43,209.78",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,241111,"100,119.60",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,241111,"70,373.20",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,241111,"1,001,033.07",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2011,Rent,Corporate,DTZ Debenham Tie Leung,241111,"1,273,117.50",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/11/2011,Crown Court Graduated Fee Scheme,West Midlands,Heeley Michelle Louise ,1130297,"25,494.96",Crown Court Graduated Fee Scheme,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/11/2011,Crown Court Graduated Fee Scheme,West Midlands,Burrows Michael ,1130508,"25,351.64",Crown Court Graduated Fee Scheme,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/11/2011,Crown Court Graduated Fee Scheme,West Midlands,Duck Michael ,1130556,"68,242.06",Crown Court Graduated Fee Scheme,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2011,Crown Court Graduated Fee Scheme,Lincolnshire,Sjolin Catarina ,1130818,"27,605.96",Crown Court Graduated Fee Scheme,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2011,Crown Court Graduated Fee Scheme,Lincolnshire,Malik Amjad ,1130972,"58,279.42",Crown Court Graduated Fee Scheme,WC1R 4JH,Not available,Not available,Not available,Programme
