"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"FV/2015/0843/","APPCOND","01/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0003/","APPCOND","01/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2015/0800/","APPCOND","02/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0004/","APPCOND","03/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0002/","APPCOND","03/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0088/","ACCEPTED","03/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0103/","ACCEPTED","08/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0105/","ACCEPTED","09/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0108/","ACCEPTED","10/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0110/","ACCEPTED","10/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0115/","ACCEPTED","10/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0016/","APPCOND","12/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0014/","APPCOND","12/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0025/","APPROVED","16/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0040/","APPCOND","16/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0058/","APPROVED","17/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0129/","ACCEPTED","17/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0130/","ACCEPTED","17/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0134/","ACCEPTED","17/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0135/","ACCEPTED","17/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0128/","ACCEPTED","18/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0143/","ACCEPTED","18/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0144/","ACCEPTED","18/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0148/","ACCEPTED","19/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0151/","ACCEPTED","22/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0057/","APPROVED","23/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0015/","APPCOND","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0034/","APPROVED","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0039/","APPCOND","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0080/","APPCOND","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0098/","APPROVED","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0155/","ACCEPTED","24/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0045/","REFUSED","26/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0074/","APPCOND","26/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2016/0096/","APPROVED","26/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0161/","ACCEPTED","29/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0162/","ACCEPTED","29/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0165/","ACCEPTED","29/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0164/","ACCEPTED","29/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2016/0168/","ACCEPTED","29/02/2016","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
