Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,510556,"11,885.17",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,510556,"21,612.95",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,510557,436.03,DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,510557,"58,388.51",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,510557,"36,667.80",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,518572,"4,254.68",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,518572,"25,794.71",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,518572,"30,427.09",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,518572,"76,377.43",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,518572,"664,975.08",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/05/2012,Rent,Corporate,DTZ Debenham Tie Leung,518572,"33,179.68",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,522859,"11,349.06",DTZ RENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,30/05/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,522859,"51,605.03",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Aaronberg David Jeffrey ,1189918,"76,329.84",Crown Court Graduated Fee Scheme,EC4V 6AU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/05/2012,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Causer John Charles ,1189229,"33,212.58",Crown Court Graduated Fee Scheme,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Graduated Fee Scheme,East Midlands Area,Coen Yvonne ,1189814,"64,111.24",Crown Court Graduated Fee Scheme,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/05/2012,Crown Court Graduated Fee Scheme,North West Area,Cole Gordon ,1192065,"44,663.50",Crown Court Graduated Fee Scheme,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/05/2012,Advice/Pre-sending - Very High Cost Cases,Special Crime Division,Dennis M ,1188840,"28,468.00",Advice/Pre-sending - Very High Cost Cases,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/05/2012,Crown Court Very High Cost Cases,West Midlands Area,Farrer David ,1186736,"33,644.40",Crown Court Very High Cost Cases,WCIR 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/05/2012,Crown Court Very High Cost Cases,Central Fraud Group,Garlick Paul ,1186461,"28,518.00",Crown Court Very High Cost Cases,EC4A 1JQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/05/2012,Crown Court Very High Cost Cases,Cymru/Wales Area,Harrington Patrick ,1193174,"37,879.20",Crown Court Very High Cost Cases,EC4Y 7BD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/05/2012,Crown Court Graduated Fee Scheme,North East Area,Hatton David ,1191163,"29,229.56",Crown Court Graduated Fee Scheme,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/05/2012,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Lewis Paul ,1185932,"94,147.99",Crown Court Graduated Fee Scheme,EC4Y 7BD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Riding Henry ,1187703,"63,610.42",Crown Court Graduated Fee Scheme,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/05/2012,Crown Court Graduated Fee Scheme,Wessex Area,Onslow Richard ,1189981,"68,023.31",Crown Court Graduated Fee Scheme,S023 8BW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,09/05/2012,Crown Court Graduated Fee Scheme,West Midlands Area,Spencer Timothy John ,1187899,"97,765.67",Crown Court Graduated Fee Scheme,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/05/2012,Crown Court Graduated Fee Scheme,London,Wild Simon ,1187072,"45,358.08",Crown Court Graduated Fee Scheme,WC2A 2JR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/05/2012,Crown Court Very High Cost Cases,Organised Crime Division,Wright Peter ,1187536,"66,167.36",Crown Court Very High Cost Cases,EC4Y 7BH,Not available,Not available,Not available,Programme
