Transaction Date,Merchant Name,Transaction Amount ,Expense Description
30/03/2015,"Amazon Svcs Europe,SAR",544.04,Payment of non-Prime furniture
30/03/2015,AV NICHE RECORDING,1376.73,Payment of equipment for fraud investigators
17/03/2015,STATIONERY OFFICE BOOK,510,Payment for official printing
16/03/2015,GLOBAL INSIGHT CONFERE,598.8,Payment for an official conference
16/03/2015,S J F PHOTOGRAPHIC,507.84,Payment for camera consumables
10/03/2015,INSTITUTE OF FISCAL ST,528,Payment for an official conference
06/03/2015,WWW.PMGLTD.CO.UK,534,Payment of external staff training session
03/03/2015,S J F PHOTOGRAPHIC,507.84,Payment for camera consumables
