Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Income Support Total Claimants,IS Claimants: Male (16-34 years),IS Claimants: Male (35-49 years),IS Claimants: Male (50-59 years),IS Claimants: Male (60+ years),IS Claimants: Female (16-34 years),IS Claimants: Female (35-49 years),IS Claimants: Female (50-59 years),IS Claimants: Female (60+ years),Children in IS Households,Adults in IS Households,IS Claimants in receipt of Disability Premium,IS Claimants in receipt of Pensioners Premium,IS Claimants not in receipt of a pensions or Disability Premium,"IS Claimants, Statistical Groups - Lone Parents","IS Claimants, Statistical Groups - Other",IS Claimants who were part of a couple,IS Claimants who were part of a couple and of pension age,IS Claimants who were part of a couple and of working age,IS Claimants who were single,IS Claimants who were single and of pension age,IS Claimants who were single and of working age
95AA01,ALDERGROVE,ANTRIM,10,0,0,0,0,10,0,0,0,20,20,0,0,10,10,0,0,0,0,10,0,10
95AA02,BALLOO,ANTRIM,30,0,10,0,0,10,10,0,0,30,30,10,0,20,20,10,0,0,0,30,0,30
95AA03,BALLYCRAIGY,ANTRIM,60,0,10,10,0,40,10,0,0,80,70,10,0,60,40,20,10,0,10,60,0,60
95AA04,CLADY,ANTRIM,30,0,0,10,0,20,10,0,0,60,40,10,0,30,20,10,10,0,10,30,0,30
95AA05,CRANFIELD,ANTRIM,30,0,0,0,0,10,10,0,0,40,40,10,0,20,10,10,10,0,10,20,0,20
95AA06,CRUMLIN (ANTRIM),ANTRIM,100,10,10,10,0,40,30,10,0,150,110,20,0,80,60,20,10,0,10,80,0,80
95AA07,DRUMANAWAY,ANTRIM,30,0,0,0,0,10,10,0,0,30,30,10,0,20,10,10,0,0,0,20,0,20
95AA08,FARRANSHANE,ANTRIM,50,0,0,0,0,20,20,0,0,70,60,10,0,40,30,10,10,0,10,50,0,50
95AA09,FOUNTAIN HILL,ANTRIM,50,0,0,0,0,30,20,0,0,100,60,10,0,50,40,10,10,0,10,50,0,50
95AA10,GREYSTONE (ANTRIM),ANTRIM,60,10,10,0,0,30,10,0,0,100,60,10,0,50,40,20,0,0,0,60,0,50
95AA11,MASSEREENE,ANTRIM,50,0,10,0,0,30,10,10,0,70,60,10,0,40,30,10,10,0,10,50,0,40
95AA12,PARKGATE,ANTRIM,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95AA13,RANDALSTOWN,ANTRIM,40,0,0,0,0,10,10,0,0,50,40,10,0,30,20,10,10,0,10,30,0,30
95AA14,SHILVODAN,ANTRIM,10,0,0,0,0,0,0,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95AA15,SPRINGFARM,ANTRIM,60,10,10,0,0,30,20,0,0,100,70,20,0,50,40,10,10,0,10,50,0,50
95AA16,STEEPLE,ANTRIM,50,10,0,10,0,20,10,0,0,70,50,10,0,40,20,20,10,0,10,40,0,40
95AA17,STILES,ANTRIM,60,0,0,0,0,30,20,0,0,120,60,10,0,50,40,10,10,0,10,50,0,50
95AA18,TEMPLEPATRICK,ANTRIM,10,0,0,0,0,0,10,0,0,20,10,0,0,10,10,0,0,0,0,10,0,10
95AA19,TOOME,ANTRIM,40,0,10,10,0,20,0,0,0,40,50,10,0,30,10,20,10,0,10,30,0,30
95BB01,BALLYGOWAN,ARDS,30,0,0,0,0,10,10,0,0,40,30,0,0,30,20,10,0,0,0,20,0,20
95BB02,BALLYRAINEY,ARDS,60,0,10,0,0,20,20,0,0,80,60,10,0,50,30,20,10,0,10,50,0,50
95BB03,BALLYWALTER,ARDS,80,10,10,10,0,40,10,10,0,110,90,10,0,70,50,20,10,0,10,70,0,70
95BB04,BRADSHAWS BRAE,ARDS,20,0,0,0,0,10,0,0,0,20,20,0,0,10,10,10,0,0,0,20,0,10
95BB05,CARROWDORE,ARDS,30,0,0,0,0,20,10,0,0,40,40,10,0,30,20,10,10,0,10,30,0,30
