Department family,Entity,Date ,Expense type,Expense area,Supplier,Transaction number,Amount 
CLG,The Planning Inspectorate,25/08/2010,Telecoms,Estates,HIGHWAYS AGENCY,46150,14604.72
CLG,The Planning Inspectorate,25/08/2010,Telecoms,Estates,HIGHWAYS AGENCY,46151,10405.84
CLG,The Planning Inspectorate,26/08/2010,Specialist Contractors,NSI Fees,GRAHAM SNOWDON,37,1344.00
CLG,The Planning Inspectorate,27/08/2010,Specialist Contractors,Tree Preservation Orders,KEITH RUSHFORTH,3042,1085.70
CLG,The Planning Inspectorate,31/08/2010,Post & Courier,Estates,CITY LINK BRISTOL,963249396,1440.16
CLG,The Planning Inspectorate,31/08/2010,Specialist Contractors,Tree Preservation Orders,SIMON PRYCE,10/109m/1,1447.60
CLG,The Planning Inspectorate,31/08/2010,Managed / Outsourced Services,Information Services,SYNETRIX LTD,INV21845,1045.76
CLG,The Planning Inspectorate,31/08/2010,Hardware,Estates,COMPUTACENTRE(UK) LTD,7217626,1044.70
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,STAR PLANNING & DEVELOPMENT LTD,544,8027.60
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,D ROGER DYER,624,3125.50
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,KEITH HILL,0910,3010.00
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,HIGH ASSOCIATES,15/2010,2648.45
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,JOHN L B GREENWOOD,PINS 10-8,1960.00
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,URBAN & RURAL PLANNING ASSOCIATES LTD,1633,1941.10
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,PLANNING & DESIGN CONSULTANCY,RM/CLM/029,1652.00
CLG,The Planning Inspectorate,01/09/2010,Specialist Contractors,NSI Fees,ROGER DEAN,RGD/P/AUGUST210,1512.00
