Department Family,Entity,Date,Expense Type,Expense Area,Supplier,SME,Transaction Number,Amount,Description,Expenditure Type
Land Registry,Land Registry,02/04/2015,Fixed Asset Interface Account,Balance Sheet,ANS Group Plc,Large,1104674,"39,360.00",Computer Assets,Administration
Land Registry,Land Registry,23/04/2015,Fixed Asset Interface Account,Balance Sheet,ANS Group Plc,Large,1106905,"62,917.49",Computer Assets,Administration
Land Registry,Land Registry,29/04/2015,Fixed Asset Interface Account,Balance Sheet,ANS Group Plc,Large,1106403,"151,858.46",Computer Assets,Administration
Land Registry,Land Registry,30/04/2015,Fixed Asset Interface Account,Balance Sheet,ANS Group Plc,Large,1106404,"102,857.14",Computer Assets,Administration
Land Registry,Land Registry,02/04/2015,Computer Equipment Maintenance,IS Service Delivery,ANS Group Plc,Large,1104674,"5,500.00",Computer Equipment Maintenance,Administration
Land Registry,Land Registry,29/04/2015,Computer Equipment Maintenance,IS Service Delivery,ANS Group Plc,Large,1106402,"97,957.39",Computer Equipment Maintenance,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Birkenhead Office,Banner Business Services Ltd,Large,1106880,"2,404.92",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Central Facilities Management Team,Banner Business Services Ltd,Large,1106880,74.21,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Chief Executives Office,Banner Business Services Ltd,Large,1106880,95.81,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Corp Procurement,Banner Business Services Ltd,Large,1106880,65.90,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Corporate Legal Services,Banner Business Services Ltd,Large,1106880,48.53,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Coventry Office,Banner Business Services Ltd,Large,1106880,"6,564.27",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Croydon Office,Banner Business Services Ltd,Large,1106880,987.49,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Durham Office,Banner Business Services Ltd,Large,1106880,"4,470.41",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Finance Group,Banner Business Services Ltd,Large,1106880,119.82,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Fylde Office,Banner Business Services Ltd,Large,1106880,"1,847.67",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Gloucester Office,Banner Business Services Ltd,Large,1106880,"1,769.21",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Governance & Policy,Banner Business Services Ltd,Large,1106880,25.42,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,HR,Banner Business Services Ltd,Large,1106880,154.80,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Hull Office,Banner Business Services Ltd,Large,1106880,"1,676.10",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Independent Complaints Reviewer,Banner Business Services Ltd,Large,1106880,6.70,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Internal Solutions Group,Banner Business Services Ltd,Large,1106880,802.62,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,IS Service Delivery,Banner Business Services Ltd,Large,1106880,"3,549.21",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Land Charges,Banner Business Services Ltd,Large,1106880,676.03,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Leicester Office,Banner Business Services Ltd,Large,1106880,"1,714.52",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,LR Board & Board Chair,Banner Business Services Ltd,Large,1106880,29.28,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Nottingham Office,Banner Business Services Ltd,Large,1106880,"2,464.72",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Peterborough Office,Banner Business Services Ltd,Large,1106880,"2,274.63",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Plymouth Office,Banner Business Services Ltd,Large,1106880,"1,410.30",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Projects and Programme Centre,Banner Business Services Ltd,Large,1106880,172.20,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Registration Legal Services Group,Banner Business Services Ltd,Large,1106880,5.02,Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Telford Office,Banner Business Services Ltd,Large,1106880,"1,194.38",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Wales Office,Banner Business Services Ltd,Large,1106880,"3,647.24",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Stationery National Contracts,Weymouth Office,Banner Business Services Ltd,Large,1106880,"1,457.35",Stationery,Administration
Land Registry,Land Registry,22/04/2015,Waste Disposal,Central Facilities Management Team,Banner Business Services Ltd,Large,1106880,"17,196.25",Waste Disposal,Administration
Land Registry,Land Registry,02/04/2015,Data Network Lines,IS Service Delivery,British Telecommunications Plc,Large,1104623,"384,054.91",Data Network Lines,Administration
Land Registry,Land Registry,29/04/2015,Data Network Lines,IS Service Delivery,British Telecommunications Plc,Large,1107799,"8,289.94",Data Network Lines,Administration
Land Registry,Land Registry,29/04/2015,Telephone Costs,IS Service Delivery,British Telecommunications Plc,Large,1107799,"158,948.54",Telephone Costs,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Birkenhead Office,Carillion Services Ltd,Large,1104606,"5,188.88",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Coventry Office,Carillion Services Ltd,Large,1104606,"7,221.40",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Croydon Office,Carillion Services Ltd,Large,1104606,"6,267.11",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Dir: Finance,Carillion Services Ltd,Large,1104606,"8,821.79",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Dir: HR,Carillion Services Ltd,Large,1104606,"12,350.97",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Durham Office,Carillion Services Ltd,Large,1104606,"4,351.35",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Fylde Office,Carillion Services Ltd,Large,1104606,"4,738.32",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Gloucester Computer Centre,Carillion Services Ltd,Large,1104606,"22,972.34",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Gloucester Office,Carillion Services Ltd,Large,1104606,"5,292.16",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Governance & Policy,Carillion Services Ltd,Large,1104606,"19,123.22",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Leicester Office,Carillion Services Ltd,Large,1104606,"3,316.81",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Nottingham Office,Carillion Services Ltd,Large,1104606,"9,227.93",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,RFS1 - Telford,Carillion Services Ltd,Large,1104606,"4,612.73",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,RFS15 - Plymouth Drakes Hill Court,Carillion Services Ltd,Large,1104606,"12,109.78",Electricity,Administration
Land Registry,Land Registry,09/04/2015,Electricity,Wales Office,Carillion Services Ltd,Large,1104606,"3,400.30",Electricity,Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Birkenhead Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Coventry Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Croydon Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Durham Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Fylde Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Gloucester Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Governance & Policy,Carillion Services Ltd,Large,1104496,71.70,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Hull Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Leicester Office,Carillion Services Ltd,Large,1104496,47.80,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Nottingham Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Peterborough Office,Carillion Services Ltd,Large,1104496,23.92,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Telford Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Wales Office,Carillion Services Ltd,Large,1104496,47.80,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Weymouth Office,Carillion Services Ltd,Large,1104496,23.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Coventry Office,Carillion Services Ltd,Large,1104604,64.60,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Croydon Office,Carillion Services Ltd,Large,1104604,52.00,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Durham Office,Carillion Services Ltd,Large,1104604,"1,011.45","Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Fylde Office,Carillion Services Ltd,Large,1104604,"1,270.22","Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Governance & Policy,Carillion Services Ltd,Large,1104604,300.31,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Hull Office,Carillion Services Ltd,Large,1104604,748.08,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Leicester Office,Carillion Services Ltd,Large,1104604,57.66,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Nottingham Office,Carillion Services Ltd,Large,1104604,206.87,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Telford Office,Carillion Services Ltd,Large,1104604,"1,390.12","Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,FF&F:Maintenance,Wales Office,Carillion Services Ltd,Large,1104604,908.90,"Furniture, Fixtures & Fittings Maintenance",Administration
Land Registry,Land Registry,09/04/2015,"FF&F:Purchases <£1,000",Governance & Policy,Carillion Services Ltd,Large,1104604,"3,537.16","Furniture,Fixtures &Fittings:Purchases less than £1,000",Administration
Land Registry,Land Registry,09/04/2015,"FF&F:Purchases <£1,000",Leicester Office,Carillion Services Ltd,Large,1104604,390.55,"Furniture,Fixtures &Fittings:Purchases less than £1,000",Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Birkenhead Office,Carillion Services Ltd,Large,1104496,469.69,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Coventry Office,Carillion Services Ltd,Large,1104496,953.05,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Croydon Office,Carillion Services Ltd,Large,1104496,565.37,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Durham Office,Carillion Services Ltd,Large,1104496,589.49,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Fylde Office,Carillion Services Ltd,Large,1104496,409.95,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,547.73,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Gloucester Office,Carillion Services Ltd,Large,1104496,590.42,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Governance & Policy,Carillion Services Ltd,Large,1104496,"1,497.55",Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Hull Office,Carillion Services Ltd,Large,1104496,460.70,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Leicester Office,Carillion Services Ltd,Large,1104496,515.68,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Nottingham Office,Carillion Services Ltd,Large,1104496,"1,821.62",Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Peterborough Office,Carillion Services Ltd,Large,1104496,601.66,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,RFS4 - Coventry,Carillion Services Ltd,Large,1104496,7.88,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Telford Office,Carillion Services Ltd,Large,1104496,622.59,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Wales Office,Carillion Services Ltd,Large,1104496,446.36,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Ext Helpdesk,Weymouth Office,Carillion Services Ltd,Large,1104496,362.86,Facilities External Helpdesk,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Birkenhead Office,Carillion Services Ltd,Large,1104496,"6,497.86",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Coventry Office,Carillion Services Ltd,Large,1104496,"7,908.38",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Croydon Office,Carillion Services Ltd,Large,1104496,"6,572.17",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Durham Office,Carillion Services Ltd,Large,1104496,"6,310.20",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Fylde Office,Carillion Services Ltd,Large,1104496,"6,161.69",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Gloucester Computer Centre,Carillion Services Ltd,Large,1104496,"2,872.08",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Gloucester Office,Carillion Services Ltd,Large,1104496,"3,505.02",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Governance & Policy,Carillion Services Ltd,Large,1104496,"14,497.86",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Hull Office,Carillion Services Ltd,Large,1104496,"5,992.66",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Leicester Office,Carillion Services Ltd,Large,1104496,"6,942.86",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Nottingham Office,Carillion Services Ltd,Large,1104496,"11,655.42",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Peterborough Office,Carillion Services Ltd,Large,1104496,"6,018.83",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,RFS4 - Coventry,Carillion Services Ltd,Large,1104496,27.04,Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Telford Office,Carillion Services Ltd,Large,1104496,"6,504.77",Facilities Managed Services,Administration
Land Registry,Land Registry,09/04/2015,FM Managed Services,Wales Office,Carillion Services Ltd,Large,1104496,"6,033.36",Facilities Managed Services,Administration
