Permanent secretary,Date,Person or organisation that meeting was with,Purpose of meeting
Simon McDonald,12th Jan,"Chris Cummings, Chairman CityUK",Introductory Meeting
Simon McDonald,29th Jan,"Laura Young ( Mentee), Shell Exec",Part of Mentoring Foundation programme
Simon McDonald,9th Feb,Laura Kuenssberg ( BBC Political Editor),Introductory Meeting
Simon McDonald,11th Feb ,"Robert Peston, ITV Political Editor",Introductory Meeting
