"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC06","Corporate Gas Oil - Cost (£)","50707.15 £","Financial","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC06","Corporate Gas Oil - Cost (£)","16118.81 £","Financial","2015/2016","2015-04-01","2016-03-31","Annual"
