Kerb Crawling Offences,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013
Sexual Offences Act 1985 { 1(1)(a) },439,331,375,161,7,2
Sexual Offences Act 1985 { 1(1)(b) },13,10,21,5,0,0
Sexual Offences Act 1985 { 2(1) },82,24,23,38,2,1
Sexual Offences Act 2003 { 51A },0,0,0,123,305,230
TOTAL,534,365,419,327,314,233
