,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,Grand Total (workforce numbers),,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,,,,
Organisation name,Organisation type,"Main, parent or sponsoring department: ",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,Total Employees,,Agency staff (clerical/admin),,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total Employees,,,,,,,,,,,,,,,Comments(NB: These will be published alongside your row of information),Notes for Cabinet Office(Not for publication),,
,,,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Salary,Allowances,Non-consolidated performance payments,Overtime, Employer pension contributions, Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,,,,,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",58,50.60,264,242.20,497,456.40,39,36.70,2,2.00,2,1.20,862,789.10,16,16.00,0,0.00,0,0.00,4,4.00,20,20,882,809,"£2,311,613.83","£18,132.60",£0.00,"£16,937.37","£458,660.91","£177,535.95","£2,982,880.66","£20,586.28","£31,943.75","£52,530.03","£3,035,410.69",,,,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",6,5.68,33,31.47,52,49.56,8,8.00,2,2.00,0,0.00,101,96.71,0,0.00,0,0.00,3,3.00,0,0.00,3,3,104,100,"£249,164.22","£3,877.42","£2,600.00",£0.00,"£66,004.68","£16,317.11","£337,963.43","£27,686.61",£0.00,"£27,686.61","£365,650.04",,,,
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",35,30.41,56,51.10,157,151.73,42,40.61,13,12.31,0,0.00,303,286.16,2,0.80,0,0.00,0,0.00,0,0.00,2,1,305,287,"£844,083.54","£27,506.50","£1,454.00","£6,892.49","£212,710.36","£65,271.86","£1,157,918.75","£2,627.83",£0.00,"£2,627.83","£1,160,546.58",,,,
"Business, Innovation and Skills (core)",Ministerial Department,"Department for Business, Innovation and Skills",107,100.70,324,313.10,921,897.30,977,936.50,195,186.10,0,0.00,"2,524","2,433.70",15,15.00,2,2.00,8,8.00,10,9.26,35,34,"2,559","2,468","£8,713,268.63","£377,097.45","£25,250.00","£27,189.61","£1,953,520.11","£825,260.76","£11,921,586.56","£283,593.00","£673,211.00","£956,804.00","£12,878,390.56",,,,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",40,38.67,82,81.10,266,262.50,198,195.70,24,23.40,1,1.00,611,602.37,19,19.00,1,1.00,32,31.70,11,11.00,63,63,674,665,"£2,053,443.55","£54,076.26","£8,000.00","£3,372.15","£440,107.46","£190,015.63","£2,749,015.05","£437,089.00","£198,751.00","£635,840.00","£3,384,855.05",,,,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",4,4.00,1,1.00,6,5.60,4,4.00,1,1.00,0,0.00,16,15.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16,16,"£56,068.12",£0.00,£0.00,£0.00,"£12,139.15","£5,017.76","£73,225.03",£0.00,"£3,315.00","£3,315.00","£76,540.03",,This was missed in error on previous WMI,,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",468,411.00,260,248.00,134,131.00,33,32.00,5,5.00,0,0.00,900,827.00,3,3.00,0,0.00,0,0.00,18,18.00,21,21,921,848,"£1,914,921.81","£26,998.21",£0.00,"£43,227.97","£399,243.22","£142,040.72","£2,526,431.93","£12,608.77","£118,097.31","£130,706.08","£2,657,138.01",,,,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",451,420.91,638,622.17,330,324.16,20,20.00,5,5.00,0,0.00,"1,444","1,392.24",64,48.82,1,1.00,51,43.28,1,0.50,117,94,"1,561","1,486","£3,507,480.80","£176,557.49","£10,688.00","£29,399.69","£452,490.62","£295,192.39","£4,471,808.99","£510,387.75","£2,500.00","£512,887.75","£4,984,696.74",,,,
ECITB,NDPB,BIS,19,16.00,42,40.00,20,20.00,5,5.00,0,0.00,0,0.00,86,81.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,86,81,"£268,890.00","£22,936.00",£0.00,£364.00,"£63,152.00","£26,922.00","£382,264.00",£0.00,£0.00,£0.00,"£382,264.00",,,,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",16,13.85,33,31.06,75,70.56,16,15.91,2,1.95,0,0.00,142,133.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,142,133,"£360,597.29","£4,138.30","£40,300.00",£0.00,"£90,619.68","£31,762.76","£527,418.03",£0.00,£0.00,£0.00,"£527,418.03",,,,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",42,39.31,31,30.35,141,133.06,32,30.91,2,2.00,0,0.00,248,235.63,1,1.00,0,0.00,4,4.00,0,0.00,5,5,253,241,"£617,700.08","£12,883.50","£1,700.00",£510.96,"£159,711.94","£42,282.22","£834,788.70","£25,945.06",£0.00,"£25,945.06","£860,733.76",,,,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",23,18.70,11,10.20,142,125.90,82,74.60,32,30.80,0,0.00,290,260.20,14,14.00,0,0.00,0,0.00,0,0.00,14,14,304,274,"£915,564.81","£2,588.17",£0.00,"£1,980.44","£186,397.94","£78,842.03","£1,185,373.39","£84,047.94",£0.00,"£84,047.94","£1,269,421.33",,,,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",516,477.68,221,207.40,646,618.01,94,93.84,8,7.68,0,0.00,"1,485","1,404.61",101,101.00,0,0.00,32,32.00,0,0.00,133,133,"1,618","1,538","£3,622,452.48","£9,348.03",£0.00,"£5,306.46","£759,507.35","£281,672.59","£4,678,286.91","£724,560.90",£0.00,"£724,560.90","£5,402,847.81",,,,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",308,286.70,"2,251","1,979.60","1,718","1,577.40",194,179.50,16,16.00,,,"4,487","4,039.10",0,0.00,30,30.00,0,0.00,,,30,30,"4,517","4,069","£10,612,996.38","£217,993.45","£670,198.83","£639,100.93","£2,238,719.20","£953,334.85","£15,332,343.64","£398,034.78",£0.00,"£398,034.78","£15,730,378.42",,"Performance award for 2014/15 paid to eligible staff in February.  Agreed overtime to address operations backlog.
",,
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",226,208.00,385,367.00,"1,056","1,035.00",142,136.00,88,82.00,23,12.00,"1,920","1,840.00",6,6.00,13,13.00,3,3.00,0,0.00,22,22,"1,942","1,862","£5,470,149.00","£328,651.00",£0.00,"£15,960.00","£720,160.00","£479,836.00","£7,014,756.00","£458,097.00",£0.00,"£458,097.00","£7,472,853.00",,,,
