Row Labels,Sum of  Transaction Amount
Airlines,674492.95
Car Hire,35446.63
Cash,515.94
Catalogue,45975.46
Clothing,2321.15
Department Stores,4446.23
Diy & Household Stores,12967.58
Entertainment,17688.04
Food & Drink,2189.38
Hotels,183208.09
Insurance,672.97
Motoring,2619.32
Other Retailers,14667.87
Petrol,2550.95
Services,62374.2
Supermarkets,7820.96
Travel Agencies,374994.17
Utilities,1189.82
Grand Total,1446141.71
