LEP14CD,LEP14NM,OBJECTID
E37000001,Black Country,0
E37000002,Buckinghamshire Thames Valley,1
E37000003,Cheshire and Warrington,2
E37000004,Coast to Capital,3
E37000005,Cornwall and Isles of Scilly,4
E37000006,Coventry and Warwickshire,5
E37000007,Cumbria,6
E37000008,"Derby, Derbyshire, Nottingham and Nottinghamshire",7
E37000009,Dorset,8
E37000010,Enterprise M3,9
E37000011,Gloucestershire,10
E37000012,Greater Birmingham and Solihull,11
E37000013,Greater Cambridge and Greater Peterborough,12
E37000014,Greater Lincolnshire,13
E37000015,Greater Manchester,14
E37000016,Heart of the South West,15
E37000017,Hertfordshire,16
E37000018,Humber,17
E37000019,Lancashire,18
E37000020,Leeds City Region,19
E37000021,Leicester and Leicestershire,20
E37000022,Liverpool City Region,21
E37000023,London,22
E37000024,New Anglia,23
E37000025,North East,24
E37000026,Northamptonshire,25
E37000027,Oxfordshire,26
E37000029,Solent,27
E37000030,South East,28
E37000031,South East Midlands,29
E37000032,Stoke-on-Trent and Staffordshire,30
E37000033,Swindon and Wiltshire,31
E37000034,Tees Valley,32
E37000035,Thames Valley Berkshire,33
E37000036,The Marches,34
E37000037,West of England,35
E37000038,Worcestershire,36
E37000039,"York, North Yorkshire and East Riding",37
E37000040,Sheffield City Region,38
