Dept Group,Dept group alias,PESA dept group alias,Budget Boundary,Resource/Capital,Category,NAC,Economic category,Code,Code description,SBI,Activity,SBI Activity,Spending programme,April 2010 MTH,June 2010 MTH,May 2010 MTH
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E5001,Gross capital procurement,P33V511D,P33V511D VMD - Veterinary Medicines Directorate,SBI33,ACT0504,SBI33 ACT0504,SBI33 ACT05 Animal Welfare,5,4,6
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1001,Gross capital procurement,P33V213D,P33V213D Natural Environment Enjoyment,SBI33,ACT0206,SBI33 ACT0206,SBI33 ACT02 Natural Environment Enjoyment,0,0,0
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1001,Gross capital procurement,P33V412D,P33V412D VLA - Veterinary Laboratories Agency,SBI33,ACT0404,SBI33 ACT0404,SBI33 ACT04 Animal Disease Protection,0,0,0
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1001,Gross capital procurement,P33V803D,P33V803D Effective Delivery (Skills),SBI33,ACT0801,SBI33 ACT0801,SBI33 ACT08 Effective Delivery (Skills),-981,201,-308
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1101,Income from sales of assets,P33V522D,P33V522D RPA - Front Line Administration Costs,SBI33,ACT0905,SBI33 ACT0905,SBI33 ACT09 Rural Payments Agency Front Line Administration Costs,-295,-573,-296
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1101,Income from sales of assets,P33V803D,P33V803D Effective Delivery (Skills),SBI33,ACT0801,SBI33 ACT0801,SBI33 ACT08 Effective Delivery (Skills),220,-134,-220
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E0601,Income from sales of assets,P33N207D,"P33N207D RBGKew - Royal Botanical Gardens, Kew (NDPB)",SBI33,ACT0202,SBI33 ACT0202,SBI33 ACT02 Biodiversity,0,-500,0
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1101,Income from sales of assets,P33N202D,P33N202D NE - Natural England (NDPB),SBI33,ACT0202,SBI33 ACT0202,SBI33 ACT02 Biodiversity,0,0,0
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1504,Gross capital procurement,P33V219D,"P33V219D FC - Policy, Regulation and Administration GB",SBI33,ACT1202,SBI33 ACT1202,SBI33 ACT12 Forestry Commission (GB Core),83,83,84
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1504,Gross capital procurement,P33V409D,P33V409D Animal Diseases (0402 - Agriculture),SBI33,ACT0404,SBI33 ACT0404,SBI33 ACT04 Animal Disease Protection,0,0,0
Dept003,"Environment, Food and Rural Affairs","Environment, Food and Rural Affairs",DEL,Capital,Prog,E1504,Gross capital procurement,P33V410D,P33V410D AH - Animal Health,SBI33,ACT0404,SBI33 ACT0404,SBI33 ACT04 Animal Disease Protection,804,0,803
