Month,Hours
2017-01,159035.75
2017-02,131185.5
2017-03,130784.5
2017-04,162902.5
2017-05,129084.75
2017-06,130905.75
2017-07,163047.75
2017-08,131220.75
2017-09,133729
2017-10,166032.75
2017-11,135157.5
2017-12,164661
