Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"100, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",4300,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",Empty Property Rate Non-Industrial,01/09/2015,105112501000N
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2600,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309130N
"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",8900,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/04/2011,105137700011N
"13/15/17 The Mall., Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",9600,Barrow Borough Council,"Streetcare, C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",Empty Property Rate Non-Industrial,30/09/2015,105117309152N
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650,Royal Mail Group Plc,"C/O Cushman And Wakefield, St Paul'S House, 23 Park Square South, Leeds,  LS1 2ND",Empty Property Rate Non-Industrial,01/04/2011,107300101420N
"186, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",14250,Cumberland Building Soc.,"Cumberland House, Cooper Way, Parkhouse, Carlisle,  CA3 0JF",Empty Property Rate Non-Industrial,08/12/2015,105117301863N
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",8200,Ladbrokes Betting & Gaming Ltd,"C/O Montagu Evans Llp, 2nd Floor Abbey House, 74 Mosley Street, Manchester,  M2 3LW",Empty Property Rate Non-Industrial,01/04/2011,105111600331N
"20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",15000,Project John Ltd,"20 Bath Street, Barrow In Furness, Cumbria,  LA14 1NE",Empty Property Rate Charitable,21/05/2016,105111600200N
"211, Dalton Road, Barrow In Furness, Cumbria, LA14 1PJ",34500,Catalyst Corporate Developement Limited,"139 Richmond Park Road, Kingston Upon Thames,  KT2 6AG",Empty Property Rate Non-Industrial,04/03/2016,104417302110N
"240, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10000,Instant Cash Loans Ltd,"6 Bevis Marks, London,  EC3A 7BA",Empty Property Rate Non-Industrial,22/04/2016,104417302400N
