Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,182,173.51,249,240.73,412,407.02,452,446.57,209,204.84,80,78.26,1584,1550.93,5,5.00,32,27.00,9,4.67,8,4.65,54,41.32,"1,638",1592.25,"£5,345,546","£279,387","£436,990","£107,084","£1,144,380","£598,120","£7,911,507","£536,823","£138,225","£675,048","£8,586,555",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1.00,1,1.00,2,2.00,1,1.00,0,0.00,0,0.00,5,5.00,0,0.00,0,0.00,1,0.32,0,0.00,1,0.32,6,5.32,"£13,699",£45,"£1,250",£0,"£2,705","£1,315","£19,013","£4,407",£0,"£4,407","£23,420",
Government Procurement Service,Executive Agency,Cabinet Office,34,31.90,69,66.60,166,160.70,79,78.30,4,4.00,0,0.00,352,341.50,3,3.00,2,2.00,0,0.00,3,3.00,8,8.00,360,349.50,"£1,029,675","£12,093",£0,"£1,186","£197,588","£160,055","£1,400,598","£160,565",£0,"£160,565","£1,561,163",
National School of Government,OTHER,Cabinet Office,61,51.69,44,38.15,18,17.59,53,51.06,8,8.00,0,0.00,184,166.49,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,184,166.49,"£599,103","£6,242","£9,475","£2,873","£113,528","£51,118","£782,339",£0,£0,£0,"£782,339",
