"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"75a","% of pupils achieving 5+ A*-Cs GCSE inc. English & Maths at Key Stage 4 (new First Entry definition) - (Snapshot)","62.30 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"75a","% of pupils achieving 5+ A*-Cs GCSE inc. English & Maths at Key Stage 4 (new First Entry definition) - (Snapshot)","63.70 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"75a","% of pupils achieving 5+ A*-Cs GCSE inc. English & Maths at Key Stage 4 (new First Entry definition) - (Snapshot)","66.20 %","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
