Post Date,Merchant Name,Amount,Description,,,,,,,,,,
15/04/2014,COMMERCIAL TRANSFER LTD,"4,876.95",Relocation Charges: TCR,,,,,,,,,,
02/04/2014,INCOME OFFICE (2),"2,800.00",MSc tuition fees for staff,,,,,,,,,,
02/04/2014,DELL PRODUCT,"1,998.00",2x Dell XP13,,,,,,,,,,
04/04/2014,APPLE ONLINE STORE GBP,"1,179.00",  New MacBook Pro for News & Comms team,,,,,,,,,,
15/04/2014,BANNER BUSINESS SERVIC,"1,065.87",Office stationery,,,,,,,,,,
11/04/2014,DELL PRODUCT,999.00,Dell Ultra book,,,,,,,,,,
02/04/2014,CRIPPS HARRIES,942.48,DCMS Legal fees Licences ,,,,,,,,,,
24/04/2014,BANNER BUSINESS SERVIC,728.87,Office stationery,,,,,,,,,,
29/04/2014,WP-CAMBRIDGE WIRELESS,624.00,R Sullivan conference attendance,,,,,,,,,,
24/04/2014,CARPHONE WAREHOUSE,619.90,2x Nexus 5's for ITTP Testing,,,,,,,,,,
24/04/2014,BANNER BUSINESS SERVIC,517.14,Office stationery,,,,,,,,,,
total,11 transactions ,"16,351.21",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
