,All crime September 2014 ,All crime September 2014 MSG Average Upper Bound,All crime September 2014 MSG Average,All crime September 2014 MSG Average Lower Bound,All victim based crime September 2014 ,Victim based crime September 2014 MSG Average Upper Bound,Victim based crime September 2014 MSG Average,Victim based crime September 2014 MSG Average Lower Bound,Violence against the person September 2014 ,Violence against the person September 2014 MSG Average Upper Bound,Violence against the person September 2014 MSG Average,Violence against the person September 2014 MSG Average Lower Bound,Sexual offences September 2014 ,Sexual offences September 2014 MSG Average Upper Bound,Sexual offences September 2014 MSG Average,Sexual offences September 2014 MSG Average Lower Bound,Robbery September 2014 ,Robbery September 2014 MSG Average Upper Bound,Robbery September 2014 MSG Average,Robbery September 2014 MSG Average Lower Bound,Theft offences September 2014 ,Theft offences September 2014 MSG Average Upper Bound,Theft offences September 2014 MSG Average,Theft offences September 2014 MSG Average Lower Bound,Burglary September 2014 ,Burglary September 2014 MSG Average Upper Bound,Burglary September 2014 MSG Average,Burglary September 2014 MSG Average Lower Bound,Vehicle offences September 2014 ,Vehicle offences September 2014 MSG Average Upper Bound,Vehicle offences September 2014 MSG Average,Vehicle offences September 2014 MSG Average Lower Bound,Theft from the person September 2014 ,Theft from the person September 2014 MSG Average Upper Bound,Theft from the person September 2014 MSG Average,Theft from the person September 2014 MSG Average Lower Bound,Bicycle theft September 2014 ,Bicycle theft September 2014 MSG Average Upper Bound,Bicycle theft September 2014 MSG Average,Bicycle theft September 2014 MSG Average Lower Bound,Shoplifting September 2014 ,Shoplifting September 2014 MSG Average Upper Bound,Shoplifting September 2014 MSG Average,Shoplifting September 2014 MSG Average Lower Bound,All other theft September 2014 ,All other theft September 2014 MSG Average Upper Bound,All other theft September 2014 MSG Average,All other theft September 2014 MSG Average Lower Bound,Drugs offences September 2014 ,Drugs offences September 2014 MSG Average Upper Bound,Drugs offences September 2014 MSG Average,Drugs offences September 2014 MSG Average Lower Bound,Possession of weapons offences September 2014 ,Possession of weapons offences September 2014 MSG Average Upper Bound,Possession of weapons offences September 2014 MSG Average,Possession of weapons offences September 2014 MSG Average Lower Bound,Public order offences September 2014 ,Public order offences September 2014 MSG Average Upper Bound,Public order offences September 2014 MSG Average,Public order offences September 2014 MSG Average Lower Bound,Miscellaneous crimes against society September 2014 ,Miscellaneous crimes against society September 2014 MSG Average Upper Bound,Miscellaneous crimes against society September 2014 MSG Average,Miscellaneous crimes against society September 2014 MSG Average Lower Bound
North Yorkshire,42.99028046,51.21870671,48.21446872,45.3864446,38.04729862,45.75769282,42.70646178,39.85869404,8.312406388,11.34960733,10.17885561,9.128871029,1.082984965,1.351855033,1.234595101,1.127506297,0.167663957,0.324927355,0.253632245,0.197980609,21.90063861,25.44550282,23.11144586,20.99148653,5.149146404,6.63661913,5.780299384,5.034470159,2.914868936,4.277350709,3.739872083,3.269931354,0.654510409,0.626415561,0.472832686,0.356904846,1.763576434,1.770196695,1.357370486,1.04081916,4.956643343,5.745206128,5.181906955,4.673837473,6.461893088,7.156286935,6.579164267,6.048583973,2.452861589,2.869312023,2.468659675,2.123951854,0.270746241,0.323865415,0.286057749,0.252663705,1.594670522,2.455513937,2.068108021,1.741823055,0.624703483,0.771326587,0.685181495,0.60865746
Nottinghamshire,62.96627171,64.14259429,60.38030449,56.83869214,56.47787414,58.48413896,54.58427844,50.94446983,13.41308862,13.7224378,12.30692031,11.03741841,1.216743914,1.305123326,1.191916903,1.088530007,0.962013562,0.85513775,0.667504609,0.521041673,31.72928487,34.35162336,31.20062861,28.33866731,7.989680711,9.280874272,8.083367569,7.040374574,6.265282692,7.396789536,6.4673319,5.654667029,1.103831524,1.280568682,0.966602313,0.72961337,2.03061642,1.965785078,1.507345853,1.155818887,6.781969788,6.585464099,5.939780307,5.357403755,7.557903732,8.958678163,8.236200671,7.571987771,3.278072504,3.031813203,2.608470232,2.244240161,0.508557404,0.431972983,0.381544967,0.337003857,1.88699186,2.279686764,1.920021064,1.617099746,0.814775806,0.997381685,0.885989781,0.787038607
South Wales,66.98622244,68.11432387,64.1190719,60.3581618,58.50249553,61.87492284,57.74895684,53.89812,13.92122121,13.62588458,12.2203269,10.95975741,1.271323242,1.43605386,1.311490519,1.197731806,0.277281315,0.720778692,0.56262643,0.439175718,32.68521079,36.37008677,33.03394306,30.00381607,6.931260495,9.961010871,8.675746472,7.556319114,7.047888568,7.292018065,6.375725688,5.574571769,1.217257248,1.262309184,0.95281963,0.719209888,1.639744376,1.997467475,1.531639622,1.174447125,6.75670457,7.342930658,6.622979681,5.973617605,9.092355532,9.653547583,8.875031967,8.159300168,3.416198481,3.341693927,2.875081197,2.473623279,0.288866885,0.415473157,0.366971311,0.324131513,3.810107869,2.67651061,2.254238096,1.898587427,0.968553673,0.98368686,0.873824454,0.776231956
South Yorkshire,68.64101467,66.73530938,62.82094363,59.13617537,62.90749275,60.80856522,56.75370646,52.96923527,10.61294272,13.85804378,12.42853806,11.14649086,1.380551381,1.373370776,1.254244568,1.145451369,0.811396065,0.818037039,0.638544485,0.498435939,38.63334985,35.62714788,32.35915223,29.39092224,10.97888088,9.444299829,8.225706405,7.164347499,7.626533977,7.589268597,6.63562464,5.801812624,1.339318913,1.339845582,1.011345863,0.763386817,1.023448757,1.813791011,1.390798205,1.066451226,7.574257098,7.055358555,6.363603107,5.739672078,10.09091023,9.498049394,8.732074014,8.027871137,2.781718996,3.134691435,2.696983207,2.320393751,0.474173381,0.422202722,0.372915275,0.329381586,1.692003773,2.45533328,2.067955866,1.741694905,0.785625773,1.046230357,0.929382822,0.825585326
Staffordshire,53.61829568,57.4865108,54.11463419,50.94053531,48.13887579,51.42119015,47.99230374,44.79206357,14.25082684,12.57785473,11.28040499,10.11679174,1.517294447,1.242607233,1.134823457,1.036388847,0.469638757,0.645375313,0.503767956,0.393231889,23.01771803,29.36030095,26.66714863,24.22103293,5.448712738,7.437612126,6.477940642,5.642095105,4.03618386,5.761834831,5.037820534,4.404783628,0.42809379,1.080865051,0.815861479,0.615830766,0.850768672,1.770872776,1.357888899,1.041216674,5.136222334,6.498875794,5.861681709,5.286962476,7.11773663,7.740165223,7.115955372,6.542085265,2.517986261,3.326365426,2.86189307,2.462276657,0.376614157,0.38836983,0.343031995,0.302986844,1.665411286,2.475467605,2.084913603,1.755977224,0.919408183,0.937157596,0.832491779,0.739515494
Suffolk,48.62358642,50.93659686,47.94890606,45.13645853,42.28167491,45.61533586,42.57359753,39.73468949,9.873650968,11.60412161,10.40711585,9.333585431,1.218918926,1.379983583,1.26028378,1.15096674,0.243240232,0.320259281,0.249988433,0.195136318,22.11311894,24.9215518,22.63555565,20.55924862,5.015640755,6.125474147,5.33510719,4.646720898,4.23835912,4.628288684,4.04671228,3.538214964,0.459302784,0.606112671,0.457507604,0.345337126,1.478465766,1.499192351,1.149566856,0.881477255,4.79550155,5.468217157,4.932075871,4.448501532,6.125848963,7.303587662,6.714585847,6.173084405,2.590032858,2.855527415,2.456799862,2.113748069,0.33836211,0.302632866,0.267303863,0.236099125,2.537036383,2.374273366,1.999684758,1.684194915,0.876480164,0.733433024,0.651520049,0.57875547
Surrey,41.67295945,52.48381022,49.40536747,46.50749107,35.76468995,47.23493499,44.08519796,41.14549283,8.391530699,10.05785111,9.020348567,8.089868042,0.807211786,1.200408559,1.096285097,1.001193306,0.226540082,0.468685567,0.365847229,0.285573537,19.67079647,28.90538689,26.25396278,23.84574767,5.384015818,6.797710494,5.920605208,5.156672391,3.469274742,5.266654565,4.604863085,4.026230269,0.25691902,1.069767424,0.807484738,0.609507812,0.940011145,3.03215734,2.325030261,1.782811743,3.239262781,5.322385902,4.800542907,4.329864956,6.38131296,8.479250362,7.795436587,7.166769347,2.821769374,3.065351591,2.637325534,2.269066293,0.201368962,0.29046659,0.256557863,0.226607601,1.854851169,2.035959471,1.714746575,1.444211369,1.03027999,0.800998526,0.711539544,0.632071728
Sussex,52.68473012,57.67258729,54.28979634,51.10542331,46.92233776,51.49062231,48.057106,44.85254466,11.3583088,12.39638071,11.11765065,9.970826079,1.180020442,1.292511309,1.180398852,1.078011032,0.371510585,0.593268367,0.463094244,0.361482747,26.20587929,30.03789777,27.28259107,24.78002226,5.426992356,7.061627733,6.150469334,5.35687726,4.586044177,5.899958219,5.158587765,4.510375623,1.467068983,1.335673865,1.008196957,0.761009951,1.457888326,2.094657048,1.60616369,1.231591492,5.157081041,6.285692729,5.669400565,5.113533886,8.110804409,8.364317728,7.689772758,7.069626835,2.650149645,3.26215213,2.806646107,2.414744026,0.380691242,0.393960878,0.34797035,0.307348702,1.964660591,2.665719485,2.245149485,1.890932724,0.766890879,0.937644612,0.832924403,0.7398998
Thames Valley,52.70213155,57.94689925,54.54801851,51.34849943,47.03663298,51.72300549,48.27399332,45.05496943,8.600782023,11.81857578,10.59944833,9.506078138,1.225229364,1.269341111,1.159238438,1.058686073,0.426110423,0.608624251,0.475080761,0.370839199,29.50436925,31.05954137,28.21052167,25.62283594,5.356816752,7.236463443,6.302746077,5.489505809,5.292490052,6.004409174,5.249913737,4.590225857,1.343089693,1.426049502,1.076414538,0.812502131,2.199196046,2.691509939,2.063824978,1.582521943,6.01476233,6.271992819,5.657043888,5.102388742,9.298014377,8.550106458,7.860578454,7.226657812,2.78763425,3.319007109,2.85556222,2.456829807,0.304796311,0.382749172,0.338067486,0.298601886,1.86763292,2.703269493,2.276775235,1.917568887,0.705435088,0.90465616,0.803620245,0.713868457
Warwickshire,49.39232299,52.74052617,49.64702573,46.73497484,45.62179145,47.74527958,44.56151157,41.59004472,7.750638293,11.3154573,10.14822828,9.101403014,1.011428228,1.378610894,1.259030158,1.149821857,0.435551976,0.413175614,0.322517193,0.251750917,28.87035313,27.22026125,24.72340981,22.45558877,6.9979899,6.965268646,6.066543412,5.28378026,7.457232988,5.141771352,4.495672309,3.930760068,0.448308728,0.691947635,0.522297784,0.394242225,1.07521199,2.013843302,1.544196456,1.184075589,4.674438566,5.601789574,5.052551938,4.557165303,8.217170953,7.659883391,7.042147913,6.474230049,1.966362266,2.762633668,2.376877202,2.044985298,0.220509578,0.297879395,0.263105306,0.232390703,1.035119339,2.130412672,1.794297914,1.511211911,0.548540354,0.733110718,0.65123374,0.578501137
West Mercia,47.39596235,50.36818891,47.41383812,44.63277506,42.61888456,45.30525748,42.28419591,39.46458585,9.65534772,10.97142139,9.839680876,8.824683356,1.219162712,1.316336912,1.202157822,1.097882629,0.30438591,0.349532443,0.272838518,0.212972669,24.29825286,25.53440776,23.19219576,21.06482942,5.831904501,6.484148309,5.647501799,4.918807383,4.926032605,4.8340292,4.226600081,3.695498622,0.436340439,0.654530121,0.494054195,0.372923323,0.995730502,1.672463397,1.282429495,0.9833551,5.428755078,5.359239122,4.833782785,4.35984577,6.679489733,7.296236364,6.707827399,6.166870996,2.333085615,2.764690751,2.378647047,2.046508013,0.26390906,0.288688662,0.254987488,0.22522055,1.508167419,2.208899339,1.860401757,1.566886564,0.671915705,0.71551808,0.635605923,0.564618703
West Midlands,62.58615579,71.35743367,67.17195679,63.23197945,56.81387474,64.07645744,59.80368791,55.81583675,12.39601577,12.96687623,11.62929756,10.42969482,1.160060715,1.402528456,1.28087311,1.169770151,1.843738492,1.580779088,1.233926731,0.963180237,32.57295287,38.98036785,35.40478911,32.15718991,8.422206055,10.96291566,9.548375969,8.316353651,8.512381106,9.039436347,7.903568807,6.91043086,1.217183557,2.142636135,1.617310398,1.220782605,1.081022822,1.696966363,1.301218144,0.997762062,5.904849154,6.936669413,6.256551057,5.643116142,7.435310179,9.547748091,8.777764733,8.069877103,2.247909538,4.240080164,3.648022535,3.138636041,0.400219151,0.456234938,0.40297461,0.35593183,2.310421326,2.894863732,2.438141692,2.053476591,0.813731038,0.989659497,0.879130041,0.780944993
West Yorkshire,67.60702462,67.88850148,63.90649514,60.15805375,61.84774655,61.73197182,57.61553813,53.77359797,10.42184681,13.38726894,12.0063253,10.76783082,1.342247908,1.388884969,1.268413059,1.158390885,0.779684858,1.10137265,0.859710989,0.671074395,39.14364317,36.71202936,33.34452005,30.28590455,10.43827524,9.909167944,8.630592813,7.51699161,8.913538455,8.004980995,6.999099907,6.119614717,1.849753485,1.613595025,1.217978157,0.919357564,0.931092909,1.845001173,1.41472987,1.084801806,6.152228584,7.052490911,6.361016626,5.737339194,10.85875449,9.486115648,8.721102672,8.017784585,2.471370114,3.237344173,2.785302174,2.396380423,0.298375982,0.448638383,0.396264867,0.350005375,2.014925903,2.674908808,2.25288901,1.897451186,0.974606073,0.964185345,0.856500953,0.760843219
Wiltshire,46.31734641,52.00707389,48.95659416,46.08504059,42.11939089,46.60675917,43.49891039,40.5983003,10.46749828,11.8440317,10.62227838,9.52655319,1.293120226,1.361243109,1.243168855,1.135336364,0.188850334,0.335966291,0.262249033,0.204706714,22.04791609,25.47107775,23.13467486,21.01258478,5.329615913,6.296978399,5.484482332,4.776822238,3.877919071,4.87857842,4.265551384,3.729555425,0.475729849,0.674718644,0.50929295,0.384425881,1.107153103,1.459656272,1.119250957,0.858231302,4.477627002,5.644169802,5.090776919,4.591642447,6.779871149,7.250000569,6.665320315,6.127791919,2.225839051,2.872059354,2.471023386,2.125985512,0.197499968,0.299327175,0.264384074,0.233520189,1.212390312,2.437496337,2.052933054,1.729042239,0.562226185,0.753497069,0.669343255,0.594588103
