Sum of HCA cash spend 2009-10,Programme,,,,,,,,,,,,,,,,,,
Local Authority Area,Community Infrastructure Fund,Decent Homes (Gap Funding),Decent Homes (SHEP),Eco Towns,Growth Fund,Gypsy and Traveller Sites,Housing Market Renewal (ex CLG),Kickstart,LA NewBuild,Low Carbon Infrastructure,Mix of NAHP and Kickstart money,Places of Change,Property and Regeneration,Public Land Initiative,Skills and Knowledge,Social Housing Energy Saving Programme,Standard NAHP money,Thames Gateway,Grand Total
Adur,,,,,,,,,,,,,"12,263",,,,"2,140,820",,"2,153,083"
Allerdale,,,,,,,,,,,,,"87,474",,,,"7,299,470",,"7,386,944"
Amber Valley,,,,,,,,,,,,,,,,,"2,724,361",,"2,724,361"
Arun,,,,,,,,,,,,,,,,,"7,396,101",,"7,396,101"
Ashfield,,,,,,,,"2,988,953",,,,,"4,672",,,,"4,390,261",,"7,383,886"
Ashford,"1,196,521",,,,"8,753,786",,,"315,600",0,,,,"833,209",,,,"10,855,096",,"21,954,212"
Aylesbury Vale,,,,,"5,631,455",,,,,,,,"42,780",,,,"24,096,246",,"29,770,481"
Babergh,,,,,,,,"305,250",,,,,,,,,"3,212,800",,"3,518,050"
Barking and Dagenham,,,,,,,,"2,321,172","1,381,916",,,,"5,523,320",,,,"20,017,478","1,980,627","31,224,513"
Barnet,,,,,"6,611,988",,,"5,591,250",,,,,"416,110",,,,"66,115,680",,"78,735,028"
Barnsley,,,,,,,,"2,681,250","657,878",,,,"4,563,410",,,,"13,280,730",,"21,183,268"
Barrow-in-Furness,,,,,,,"2,577,613",,,,,,"4,262",,,,0,,"2,581,875"
Basildon,"3,046,654",,,,,,,,,,,,"4,956,087",,,,"11,975,494","9,189,243","29,167,478"
Basingstoke and Deane,,,,,"2,845,266",,,,,,,,"177,674",,,,"32,548,018",,"35,570,958"
Bassetlaw,,,,,,,,,,,,,"64,216",,,,"1,395,275",,"1,459,491"
Bath and North East Somerset UA,,,,,"7,355,306",,,"46,824",,,,"-160,969","22,162,431",,,,"10,501,295",,"39,904,887"
Bedford,,,,,"8,969,720",,,,,,,,"1,849,816",,,,"11,653,400",,"22,472,936"
Bexley,,,,,,,,,,,,,"88,099",,,,"37,985,496","4,693,991","42,767,586"
Birmingham,"304,329",,,,"5,694,532",,,"17,609,017","9,030,750","2,280,000",,"1,720,696","2,613,154",,,,"30,220,755",,"69,473,233"
Blaby,,,,,,,,"723,702",,,,,,,,,"1,960,748",,"2,684,450"
Blackburn with Darwen,,,,,,,"50,865,170",,,,,,"2,464,721",,,,"5,289,973",,"58,619,864"
Blackpool,,,,,"2,269,486",,,,"1,159,800",,,"823,400","7,033,226",,,,"4,093,348",,"15,379,260"
Bolsover,,,,,,,,,,,,,"3,224,148",,,,"1,928,841",,"5,152,989"
Bolton,,,,,,,,,"695,537",,,,"21,180",,,,"7,987,623",,"8,704,340"
Boston,,,,,,,,"2,047,769",,,,,,,,,"1,481,717",,"3,529,486"
Bournemouth,,,,,,,,,"1,455,000",,,,,,,,"6,918,003",,"8,373,003"
Bracknell Forest,,,,,,,,,,,,,"352,154",,,,"11,505,465",,"11,857,619"
Bradford,,,,,,,,"543,750","2,100,638",,,,"201,630",,,,"9,317,134",,"12,163,152"
Braintree,,,,,,,,,,,,,,,,,"3,712,734",,"3,712,734"
Breckland,,,,,"3,090,367",,,,,,,,"7,500",,,,"15,069,775",,"18,167,642"
Brent,,,,,"2,773,076",,,"3,199,999",,,,"500,000","105,107",,,,"62,273,989",,"68,852,171"
Brentwood,,,,,,,,,,,,,"-2,500",,,,"1,957,849",,"1,955,349"
Brighton and Hove,,,,,"1,387,998",,,,,,,"100,000",,,,,"8,348,266",,"9,836,264"
Bristol UA,,,,,,,,"4,813,246",,,,,"2,237,592",,,,"30,870,286",,"37,921,124"
Broadland,,,,"7,390,935",,,,,,,,,,,,,"3,339,713",,"10,730,648"
Bromley,,,,,,,,,,,,,"9,801,800",,,,"39,757,128",,"49,558,928"
Bromsgrove,,,,,,,,,,,,,"208,460",,,,"4,406,375",,"4,614,835"
Broxbourne,,,,,,,,"297,000",,,,,,,,,"6,367,317",,"6,664,317"
Broxtowe,,,,,,,,,"367,896",,,,,,,,"3,079,530",,"3,447,426"
Burnley,,,,,,,,,,,,"300,000","5,926",,,,"1,825,129",,"2,131,055"
Bury,,,,,,,,,,,,,,,,,"4,811,454",,"4,811,454"
Calderdale,,,,,,,,"328,862",,,,,,,,,"10,487,573",,"10,816,435"
Cambridge,"201,076",,,,"18,959,413",,,,"221,293",,,"1,380,000",,,,,"13,225,857",,"33,987,639"
Camden,,,,,,,,,,,,"100,000","1,852",,,,"35,664,636",,"35,766,488"
Cannock Chase,,,,,,,,"782,295",,,,,"100,862",,,,"3,319,109",,"4,202,266"
Canterbury,,,,,,,,,,,,"-141,290","-33,498",,,,"8,012,483",,"7,837,695"
Carlisle,,,,,"131,089",,,,,,,"662,098",,,,,"6,955,044",,"7,748,231"
Castle Point,"763,601",,,,,,,,,,,,,,,,"1,543,931","2,664,348","4,971,880"
Central Bedfordshire,,,,,,,,0,,,,,,,,,"11,859,687",,"11,859,687"
Charnwood,,,,,,,,,,,,,,,,,"8,982,519",,"8,982,519"
Chelmsford,,,,,"4,554,946",,,,,,,,"277,196",,,,"12,303,350",,"17,135,492"
Cheltenham,,,,,,,,,,,,,"457,923",,,"33,777","2,183,436",,"2,675,136"
Cherwell,,,,"6,890,935",,,,,,,,,"50,086",,,,"10,480,323",,"17,421,344"
Cheshire East,,,,,,,,"2,248,430",,,,"500,000",,,,,"14,036,694",,"16,785,124"
