Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Item Text,Merchant category,Amount
Communities & Local Government,DCLG,07/07/2017,Professional services,Corporate Services,MAILCHIMP    MONTHLY,1000004207,Web Renewal,MISC BUSINESS SERVICES,32.35
Communities & Local Government,DCLG,10/07/2017,Fixed Maintenance,Corporate Services,XL DISPLAYS LTD,1000004208,Portable Whiteboard,MISC DURABLE GOODS,92.40
Communities & Local Government,DCLG,11/07/2017,Fixed Maintenance,Corporate Services,AMAZON EU,1000004209,IT Equipment,DIRECT SALES COMPANIES,73.00
Communities & Local Government,DCLG,11/07/2017,Government Procurement Card (expense),Corporate Services,AMAZON EU,1000004209,IT Equipment,DIRECT SALES COMPANIES,15.99
Communities & Local Government,DCLG,11/07/2017,Government Procurement Card (expense),Corporate Services,AMAZON EU,1000004209,IT Equipment,DIRECT SALES COMPANIES,33.99
Communities & Local Government,DCLG,11/07/2017,Publications,Corporate Services,AMAZON EU,1000004209,"Red and Green coloured card, A5",DIRECT SALES COMPANIES,4.58
Communities & Local Government,DCLG,17/07/2017,Publications,Corporate Services,C I H,1000004210,Research,"CIVIC, SOCIAL & FRATERNAL ASSOCIATIONS",32.50
Communities & Local Government,DCLG,26/07/2017,"IT - PC, Network & Hardware",Local Government & Public Services,DROPBOX QJHYGJ229XQY,1000004211,Data Storage,COMPUTER NETWORK INFORMATION SERVICES,79.00
