Year,Waste Type animal carcass,Waste Type asbestos,Waste Type black bags – commercial,Waste Type black bags – household,"Waste Type chemical drums, oil or fuel",Waste Type clinical,Waste Type construction/demolition/excavation,Waste Type green,Waste Type other (unidentified),Waste Type other commercial waste,Waste Type other electrical,Waste Type other house hold waste,Waste Type tyres,Waste Type vehicle parts,Waste Type white goods,Waste Type Total
2011/12,3,23,2,6,41,0,53,6,8,21,3,19,34,4,1,224
2012/13,1,5,1,0,24,0,25,6,6,15,0,10,9,5,0,107
2013/14,1,6,2,4,23,0,38,1,5,30,2,15,6,3,1,137
2014/15,0,8,1,5,24,0,34,3,7,34,1,12,15,3,4,151
2015/16,1,6,0,6,26,0,23,6,3,32,6,0,11,5,0,125
2016/17,1,6,5,14,32,0,75,5,11,37,1,25,1,2,3,218
"Notes: Number of large-scale illegal dumping incidents Waste Type. The Environment Agency is responsible for dealing with large-scale, serious and organised illegal dumping incidents which pose an immediate threat to human health or the environment.",,,,,,,,,,,,,,,,
In 2016/17 the Environment Agency dealt with 218 incidents of large-scale illegal dumping of waste in England.,,,,,,,,,,,,,,,,
