Prosecution outcomes,2009 - 10 Volume,2009 - 10 Percentage
"Prosecutions dropped inc. discontinued, no evidence offered & withdrawn",17735,20.60%
of which - no evidence offered,9642,11.20%
Dismissed after full trial,3067,3.60%
Judge directed acquittal,227,0.30%
Jury acquittal,2058,2.40%
All other unsuccessful outcomes,1140,1.30%
Unsuccessful outcomes,24227,28.20%
Guilty plea,54484,63.40%
Conviction after trial,7069,8.20%
Proved in absence,124,0.10%
Convictions,61677,71.80%
Total prosecutions,85904,100.00%
