Department,Organisation Name,Basis for expenditure approval,Total Value Approved (£M),,,AA/AO (FTE),EO (FTE),HEO (FTE),SEO (FTE),Grade 6 / 7 (FTE),SCS (FTE),AA/AO (Headcount),EO (Headcount),HEO (Headcount),SEO (Headcount),Grade 6 / 7 (Headcount),SCS (Headcount),Total approvals (Headcount),Total Approvals (FTE),Date of approval
Cabinet Office,Cabinet Office,"Combination of specialist skills not available in the Civil Service, immediate resource required and not readily available from across the Civil Service, plus commitment to providing employability for young people for entry grades via the Graduate Intern and apprentice scheme. ",£4.72,,,16.62,51.83,7,23.51,18.62,4,17,52,7,24,19,4,123,121.58,30/09/2014
Cabinet Office,Crown Commercial Services,"Combination of specialist skills not available in the Civil Service, immediate resource required and not readily available from across the Civil Service. ",£7.69,,,15,35,34,34,26,15,15,35,34,34,26,15,159,159,30/09/2014
