Government Hospitality Stock Report,,,
Country or Region,Vintage,Product,Grade
Bordeaux,1955,Château Latour 1955  1er Cru Classé,A1
Bordeaux,1961,Château Gruaud-Larose 1961  2me Cru Classé  St Julien,A1
Bordeaux,1961,Château Latour 1961  1er Cru Classé,A1
Bordeaux,1961,Château Margaux 1961  1er Cru Classé,A1
Bordeaux,1962,Château Latour 1962  1er Cru Classé,A
Bordeaux,1962,Château Margaux 1962  1er Cru Classé,A
Bordeaux,1970,Château Palmer 1970  Magnums  3me Cru Classé  Margaux,A1
Bordeaux,1970,Château Pétrus 1970  Cru Exceptionnel,A1
Bordeaux,1975,Château Cheval Blanc 1975  1er Grand Cru Classé  St Emilion,A
Bordeaux,1975,Château Cheval Blanc 1975  Magnums  1er Grand Cru Classé  St Emilion,A
Bordeaux,1975,Château Margaux 1975  1er Cru Classé,A
Bordeaux,1975,Château Palmer 1975  3me Cru Classé,B
Bordeaux,1978,Château Pétrus 1978  Cru Exceptionnel,A1
Bordeaux,1979,Château Margaux 1979  1er Cru Classé,A1
Bordeaux,1981,Château Beychevelle 1981  4me Cru Classé  St Julien,B
Bordeaux,1981,Château Cheval Blanc 1981  1er Grand Cru Classé  St Emilion ,A
Bordeaux,1982,Château Beychevelle 1982  Magnums  4me Cru Classé  St Julien,A
Bordeaux,1982,Château Margaux 1982  1er Cru Classé,A1
Bordeaux,1983,Château Cheval Blanc 1983  1er Grand Cru,A1
Bordeaux,1983,Château Margaux 1983  1er Cru Classé,A1
Bordeaux,1985,Château Brane-Cantenac 1985  Magnums  2me Cru Classé  Cantenac-Margaux,B
Bordeaux,1985,Château Gruaud-Larose 1985  2me Cru Classé  St Julien,A
Bordeaux,1986,Château Beychevelle 1986  4me Cru Classé  St Julien,B
Bordeaux,1986,Château Cheval Blanc 1986  1er Grand Cru Classé  St Emilion,A1
Bordeaux,1986,Château Cos d’Estournel 1986  Magnums  2me Cru Classé  St Estèphe,A
Bordeaux,1986,Château Giscours 1986  3me Cru Classé  Labarde-Margaux,B
Bordeaux,1986,Château Margaux 1986  1er Cru Classé,A1
Bordeaux,1986,Château Montrose 1986  2me Cru Classé  St Estèphe,A
Bordeaux,1986,Château Mouton Rothschild 1986  1er Cru Classé  Pauillac,A1
Bordeaux,1986,Le Pin 1986  Principal Growth  Pomerol,A1
Bordeaux,1986,Vieux Château Certan 1986  Magnums  Principal Growth  Pomerol ,A
Bordeaux,1988,Chateau Belair 1988,B
Bordeaux,1988,Château La Lagune 1988  3me Cru Classé  Ludon (Haut Médoc),B
Bordeaux,1988,Château Lafite Rothschild 1988  1er Cru Classé  Pauillac,A1
Bordeaux,1988,Château Lynch Bages 1988  5me Cru Classé  Pauillac,B
Bordeaux,1988,Château Margaux 1988  1er Cru Classé      ,A1
Bordeaux,1988,Château Mouton-Rothschild 1988  1er Cru Margaux Classé  Pauillac,A
Bordeaux,1988,Château Pichon-Longueville Baron 1988  2me Cru Classé  Pauillac,B
Bordeaux,1988,Château Rauzan-Ségla 1988  2me Cru Classé  Margaux,B
Bordeaux,1988,Château Troplong Mondot 1988  St,C     
Bordeaux,1988,Vieux Château Certan 1988  Cru Exceptionnel  Pomerol,B
Bordeaux,1989,Château Angélus 1989  Grand Cru Classé  St Emilion,B
Bordeaux,1989,Château Cos d’Estournel 1989  2me Cru Classé  St Estèphe,A
Bordeaux,1989,Château Haut Brion 1989  1er Cru Classé,A1
Bordeaux,1989,Château Léoville Lascases 1989  2me Cru Classé  St Julien,A
Bordeaux,1989,Château Mouton Rothschild 1989  1er Cru Classé  Pauillac,A1
Bordeaux,1990,Chateau Beychevelle 1990  4me Cru Classé  St Julien,B
Bordeaux,1990,Château Brane-Cantenac 1990  2me Cru Classé  Cantenac-Margaux,B
Bordeaux,1990,Château Calon-Ségur 1990  3me Cru Classé  St Estèphe,B
