Prosecutions,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage,2014 - 15 Volume,2014 - 15 Percentage
Convictions,2018,57.74%,2270,59.44%,2465,58.58%,2414,62.47%,2333,63.19%,2348,60.30%,2581,56.90%
Unsuccessful,1477,42.26%,1549,40.56%,1743,41.42%,1450,37.53%,1359,36.81%,1543,39.70%,1955,43.10%
Total,3495,100.00%,3819,100.00%,4208,100.00%,3864,100.00%,3692,100.00%,3891,100.00%,4536,100.00%
