Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,156,151.11,363,352.31,524,515.19,798,784.15,251,244.31,151,148.48,"2,243","2,196",6,6,180,180,22,21.6,5,5,213,212.6,"2,456","2,408","£7,815,904.25","£371,132.80","£19,394.25","£77,916.79","£1,772,051.06","£765,985.42","£10,822,384.57","£802,394.82","-£509,578.00","£292,816.82","£11,115,201.39",Consultants costs: owing to end year accounting adjustments costs in April are negative
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,5,5,1,1,0,0,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£46,368.27",£983.40,£250.00,£0.00,"£9,747.20","£4,049.25","£61,398.12",£0.00,0,£0.00,"£61,398.12",
Crown Commercial Services,Executive Agency,Cabinet Office,47,44.82,129,124.6,350,342.88,185,182,56,55.92,0,0,767,750,8,8,43,43,0,0,0,0,51,51,818,801,"£2,727,430.07","£7,220.08",£0.00,£264.46,"£565,038.17","£247,000.67","£3,546,953.45",135230.49,0,"£135,230.49","£3,682,183.94",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,104,99,466,431,238,224,70,68,15,15,0,0,893,837,13,13,0,0,9,0.5,0,0,22,13.5,915,851,"£1,918,359.73","£29,149.42",0,5411.32,"£388,448.88","£143,595.54","£2,484,964.89",79058.83,0,"£79,058.83","£2,564,023.72",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
