Date,Mentions,Engagements
2016-03-01,481,223
2016-03-02,567,277
2016-03-03,608,386
2016-03-04,520,301
2016-03-05,250,183
2016-03-06,241,127
2016-03-07,479,268
2016-03-08,693,408
2016-03-09,486,312
2016-03-10,560,283
2016-03-11,621,204
2016-03-12,367,175
2016-03-13,373,242
2016-03-14,533,219
2016-03-15,714,472
2016-03-16,626,256
2016-03-17,822,357
2016-03-18,690,245
2016-03-19,403,227
2016-03-20,335,150
2016-03-21,569,292
2016-03-22,641,331
2016-03-23,612,341
2016-03-24,560,249
2016-03-25,486,209
2016-03-26,287,231
2016-03-27,215,111
2016-03-28,634,228
2016-03-29,494,305
2016-03-30,660,374
2016-03-31,651,864
2016-04-01,672,921
2016-04-02,379,517
2016-04-03,417,374
2016-04-04,559,628
2016-04-05,632,619
2016-04-06,526,355
2016-04-07,557,437
2016-04-08,472,340
2016-04-09,507,537
2016-04-10,675,592
2016-04-11,621,520
2016-04-12,334,268
2016-04-13,495,273
2016-04-14,643,384
2016-04-15,695,417
2016-04-16,332,276
2016-04-17,280,218
2016-04-18,763,464
2016-04-19,676,432
2016-04-20,489,345
2016-04-21,541,292
2016-04-22,432,227
2016-04-23,324,241
2016-04-24,297,295
2016-04-25,458,266
2016-04-26,542,363
2016-04-27,574,357
2016-04-28,603,417
2016-04-29,509,352
2016-04-30,310,228
2016-05-01,410,192
2016-05-02,541,314
2016-05-03,646,368
2016-05-04,691,516
2016-05-05,646,509
2016-05-06,533,437
2016-05-07,311,520
2016-05-08,766,1011
2016-05-09,690,831
2016-05-10,814,632
2016-05-11,584,1164
2016-05-12,906,2343
2016-05-13,901,2713
2016-05-14,952,3630
2016-05-15,357,757
2016-05-16,716,495
2016-05-17,726,592
2016-05-18,542,572
2016-05-19,583,540
2016-05-20,539,382
2016-05-21,378,241
2016-05-22,367,256
2016-05-23,488,359
2016-05-24,615,500
2016-05-25,616,538
2016-05-26,590,498
2016-05-27,511,427
2016-05-28,337,305
2016-05-29,313,256
2016-05-30,421,313
2016-05-31,650,558
2016-06-01,635,487
2016-06-02,564,365
2016-06-03,454,350
2016-06-04,332,222
2016-06-05,475,251
2016-06-06,1009,578
2016-06-07,596,384
2016-06-08,518,308
2016-06-09,566,418
2016-06-10,469,285
2016-06-11,480,281
2016-06-12,317,154
2016-06-13,387,192
2016-06-14,456,217
2016-06-15,513,271
2016-06-16,600,467
2016-06-17,526,325
2016-06-18,271,144
2016-06-19,254,186
2016-06-20,459,284
2016-06-21,555,351
2016-06-22,476,312
2016-06-23,404,278
2016-06-24,414,236
2016-06-25,306,151
2016-06-26,247,118
2016-06-27,632,427
2016-06-28,435,322
2016-06-29,393,278
2016-06-30,487,251
2016-07-01,443,190
2016-07-02,287,175
2016-07-03,214,83
2016-07-04,317,177
2016-07-05,440,280
2016-07-06,413,286
2016-07-07,410,270
2016-07-08,466,283
2016-07-09,388,197
2016-07-10,258,155
2016-07-11,403,252
2016-07-12,556,374
2016-07-13,395,244
2016-07-14,459,261
2016-07-15,358,240
2016-07-16,269,170
2016-07-17,300,138
2016-07-18,660,311
2016-07-19,496,537
2016-07-20,458,314
2016-07-21,464,317
2016-07-22,348,197
2016-07-23,262,166
2016-07-24,197,269
2016-07-25,318,206
2016-07-26,556,308
2016-07-27,442,265
2016-07-28,456,305
2016-07-29,604,224
2016-07-30,537,232
2016-07-31,279,172
2016-08-01,453,243
2016-08-02,906,270
2016-08-03,875,235
2016-08-04,445,259
2016-08-05,384,202
2016-08-06,280,160
2016-08-07,212,102
2016-08-08,374,203
2016-08-09,689,224
2016-08-10,683,182
2016-08-11,3957,3515
2016-08-12,4710,4161
2016-08-13,5109,4756
2016-08-14,4434,4561
2016-08-15,2085,1736
2016-08-16,3341,2533
2016-08-17,3662,3161
2016-08-18,1696,2641
2016-08-19,2171,1863
2016-08-20,1718,1444
2016-08-21,1655,1400
2016-08-22,2003,1974
2016-08-23,1074,1551
2016-08-24,1271,948
2016-08-25,1353,1502
2016-08-26,1036,1129
2016-08-27,1097,920
2016-08-28,1109,1050
2016-08-29,1279,1040
2016-08-30,1565,921
2016-08-31,923,581
2016-09-01,868,635
2016-09-02,1482,1491
2016-09-03,741,592
2016-09-04,1039,846
2016-09-05,904,1056
2016-09-06,814,601
2016-09-07,547,1113
2016-09-08,677,684
2016-09-09,598,1335
2016-09-10,668,989
2016-09-11,413,335
2016-09-12,1090,466
2016-09-13,1256,248
2016-09-14,1132,218
2016-09-15,824,323
2016-09-16,1086,323
2016-09-17,549,163
2016-09-18,665,204
2016-09-19,734,297
2016-09-20,594,324
2016-09-21,854,361
2016-09-22,1061,542
2016-09-23,994,314
2016-09-24,611,477
2016-09-25,616,256
2016-09-26,585,240
2016-09-27,671,196
2016-09-28,693,263
2016-09-29,715,280
2016-09-30,551,239
2016-10-01,591,240
2016-10-02,631,180
2016-10-03,915,280
2016-10-04,792,274
2016-10-05,1380,262
2016-10-06,685,241
2016-10-07,1253,305
2016-10-08,1163,258
2016-10-09,730,145
2016-10-10,846,290
2016-10-11,834,350
2016-10-12,1323,251
2016-10-13,1592,315
2016-10-14,1808,265
2016-10-15,876,234
2016-10-16,1151,242
2016-10-17,975,270
2016-10-18,1013,276
2016-10-19,1771,377
2016-10-20,1224,366
2016-10-21,728,363
2016-10-22,818,273
2016-10-23,1060,252
2016-10-24,498,263
2016-10-25,1141,268
2016-10-26,748,268
2016-10-27,699,246
2016-10-28,506,150
2016-10-29,643,109
2016-10-30,921,243
2016-10-31,795,222
2016-11-01,715,212
2016-11-02,498,190
2016-11-03,695,267
2016-11-04,532,260
2016-11-05,723,197
