Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence,Ministerial Department,Ministry of Defence,11367,10853,7136,6966,13131,12877,2413,2385,242,238,14112,13707,48401,47025,348,347,391,388,193,192,41,41,973,967,49374,47992,117951000,0,0,3926000,21183000,9504000,152564000,8983000,9420000,18403000,170967000,,
Defence Science and Technology Laboratory,Executive Agency,Ministry of Defence,174,169,234,224,1840,1772,1534,1463,36,32,0,0,3818,3661,1,1,0,0,184,174,0,0,185,175,4003,3835,11216259,86649,2376,514873,2228354,1025255,15073766,1089881,,1089881,16163647,30/11/2014,
Defence Support Group,Executive Agency,Ministry of Defence,1557,1532,574,564,282,279,53,52,4,4,0,0,2470,2431,275,274,5,5,0,0,0,0,280,279,2750,2710,4980263,107716,0,300113,913889,381421,6683402,695488,0,695488,7378891,,
UK Hydrographic Office,Executive Agency,Ministry of Defence,170,167,312,295,427,411,68,68,4,4,0,0,981,944,33,33,0,0,69,68,0,0,102,101,1083,1045,2456275,63072,500,65538,489355,209338,3284078,524178,0,524178,3808256,,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,174,168,0,0,0,0,0,0,0,0,0,0,174,168,0,0,0,0,0,0,2,2,2,2,176,170,366496,7102,0,10123,19118,33937,436776,0,10535,10535,447311,,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,3,4,4,1,1,40,38,48,46,0,0,0,0,0,0,0,0,0,0,48,46,133108,9983,0,0,28057,11962,183110,0,0,0,183110,,
National Museum of the Royal Navy,OTHER,Ministry of Defence,29,24,22,21,16,16,4,4,1,1,0,0,72,66,0,0,0,0,0,0,0,0,0,0,72,66,173920,258,0,103,12426,15795,202502,0,0,0,202502,,
