Resource/Capital,Budget Boundary,Category,PESA dept group (excl splits),Dept group alias (excl splits),NAC,Economic category,Code,Code description,SBI,Activity,Spending programme,April 2010 MTH,May 2010 MTH,June 2010 MTH,July 2010 MTH,August 2010 MTH,September 2010 MTH,,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25NA302,P25ECITB own expenditure,SBI25,ACT0602,SBI25 ACT06 Strengthening further and higher education,0,0,0,85,13,0,,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",E1504,Gross capital procurement,P25NA305,P25CITB own expenditure,SBI25,ACT0602,SBI25 ACT06 Strengthening further and higher education,0,0,0,72,4,39,,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",H2001,Net lending to private sector and abroad,P253A002,P25Student Loans AME,SBI25,ACT0601,SBI25 ACT06 Improving skills & Building social and community cohesion,"2,156,589","41,778","-18,091","-285,240","76,367","717,162",,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",H2001,Net lending to private sector and abroad,P253A003,P25Student Loan Debt Sale provisions,SBI25,ACT0601,SBI25 ACT06 Improving skills & Building social and community cohesion,"22,732",0,0,0,0,0,,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",H3501,Capital support for PCs,P251A007,P25Post Office Working Capital Loan,SBI25,ACT0106,SBI25 ACT01 Government as Shareholder,"-354,000","105,000","10,000","190,000","-90,000","-300,000",,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",H3501,Capital support for PCs,P25NA120,P25Royal Mail Shareholder Loan,SBI25,ACT0106,SBI25 ACT01 Government as Shareholder,"25,000",0,"30,000","35,000",0,"280,000",,,
Capital,AME,Prog,"Business, Innovation and Skills","Business, Innovation and Skills",H3502,Capital support for PCs,P25C1A05,P25 BNFL/Magnox OCS AME CFER,SBI25,ACT0106,SBI25 ACT01 Government as Shareholder,0,0,0,"-32,000",0,0,,,
Capital,AME,Prog,Chancellor's Departments,HM Revenue and Customs,G2001,Capital grants to persons and non-profit bodies,P4330085,P43Child Trust Fund,SBI43,ACT0108,SBI43 ACT01 Making payments of Child Benefit and Child Trust Fund endowment...,"44,083","43,084","25,378","44,114","21,553","-3,495",,,
Capital,AME,Prog,Chancellor's Departments,HM Revenue and Customs,G2001,Capital grants to persons and non-profit bodies,P4330086,P43Child Trust Fund use of provisions,SBI43,ACT0108,SBI43 ACT01 Making payments of Child Benefit and Child Trust Fund endowment...,0,0,"29,687","15,600","18,465","23,082",,,
Capital,AME,Prog,Chancellor's Departments,HM Treasury,H1001,Net lending to private sector and abroad,P4150531,P41Income from financial institutions (AME CFERS),SBI41,ACT0404,SBI41 ACT04 Assistance to other financial institutions,0,0,0,"-764,194","-5,084",0,,,
Capital,AME,Prog,Chancellor's Departments,HM Treasury,H3501,Capital support for PCs,P4150528,P41Northern Rock refinancing,SBI41,ACT0402,SBI41 ACT04 Northern Rock,0,0,0,0,0,0,,,
Capital,AME,Prog,Chancellor's Departments,HM Treasury,H3501,Capital support for PCs,P4150529,P41Bradford & Bingley assistance,SBI41,ACT0404,SBI41 ACT04 Assistance to other financial institutions,0,0,0,0,0,0,,,
Capital,AME,Prog,Chancellor's Departments,HM Treasury,H3501,Capital support for PCs,P4150531,P41Income from financial institutions (AME CFERS),SBI41,ACT0404,SBI41 ACT04 Assistance to other financial institutions,"5,000","15,000","10,000","-300,000","-295,000","-405,835",,,
Capital,AME,Prog,Combined (CLG Communities and Local Government),CLG Communities and Local Government,N2001,Capital support for LG,P0810493,P08Overhanging debt AME LA voted,SBI08,ACT1601,SBI08 ACT16 Improving the supply and quality of housing,0,0,0,0,0,0,,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",E1001,Gross capital procurement,P36Y1535,P36BBC AME Prog CG (AA141)(UK),SBI36,ACT0109,SBI36 ACT01 Broadcasting and Media,"6,083","6,083","6,083","6,083","6,083","6,083",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",E1504,Gross capital procurement,P36Y1535,P36BBC AME Prog CG (AA141)(UK),SBI36,ACT0109,SBI36 ACT01 Broadcasting and Media,"3,417","3,417","3,417","3,417","3,417","3,417",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1542,P36 Heritage Lottery Fund,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"13,840","13,840","13,840","13,840","13,840","13,840",,,
Capital,AME,Prog,"Culture, Media and Sport","Culture, Media and Sport",G2001,Capital grants to persons and non-profit bodies,P36Y1543,P36 Sport England,SBI36,ACT020101,SBI36 ACT0201 National Lottery,"1,262","1,262","1,262","1,262","1,262","1,262",,,
