Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
BIS,NMO,03/08/2011,Building Construction,Estates,Amey Community Limited,90282074,"53,614.98"
BIS,NMO,03/08/2011,Building Construction,Estates,Amey Community Limited,90282212,"26,534.40"
BIS,NMO,03/08/2011,Building Construction,Estates,Amey Community Limited,90282213,"25,738.37"
BIS,NMO,03/08/2011,NMS Science Programmes,Programmes,LGC Limited,50091098,"101,417.00"
BIS,NMO,05/08/2011,Building Service Charges,Estates,Amey Community Limited,90282394,"319,619.85"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2267,"276,208.48"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2268,"533,677.07"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2272,"601,740.55"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2273,"305,514.48"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2274,"133,115.33"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2277,"371,425.71"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2278,"88,303.62"
BIS,NMO,10/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2279,"525,008.05"
BIS,NMO,10/08/2011,International Subscriptions,Programmes,Organisation Internationale de Métrologie Légale ,OIML UK subs,"50,421.36"
BIS,NMO,12/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2270,"32,145.67"
BIS,NMO,19/08/2011,NMS Science Programmes,Programmes,NPL Management Ltd,C2269,"602,093.21"
BIS,NMO,23/08/2011,NMS Science Programmes,Programmes,LGC Limited,50094065,"101,417.00"
BIS,NMO,23/08/2011,NMS Science Programmes,Programmes,LGC Limited,50094069,"185,583.00"
BIS,NMO,23/08/2011,NMS Science Programmes,Programmes,LGC Limited,50094070,"141,971.00"
BIS,NMO,23/08/2011,NMS Science Programmes,Programmes,LGC Limited,50094071,"44,545.00"
BIS,NMO,26/08/2011,Building Construction,Estates,Amey Community Limited,90279935,"37,410.92"
BIS,NMO,26/08/2011,NMS Science Programmes,Programmes,TUV NEL Ltd,1790009347,"233,600.00"
