_id,LGD2014,LGD2014 Code,Extent (%),Rank of Extent,Income Scale,Rank of Income Scale,Income Rate (%),Rank of Income Rate,Employment Scale (18-59/64 years),Rank of Employment Scale (18-59/64 years),Employment Rate (18-59/64 years) (%),Rank of Employment Rate (18-59/64 years),Population Estimate (NIMDM 2010)
1,Antrim and Newtownabbey,N09000001,10,7,25100,10,18,9,8400,9,10,9,136000
2,"Armagh, Banbridge and Craigavon",N09000002,13,4,43800,4,23,7,14600,3,13,5,193100
3,Belfast,N09000003,45,1,109900,1,34,2,30600,1,16,2,320600
4,Causeway Coast and Glens,N09000004,11,5,34900,5,25,4,10800,5,13,3,138100
5,Derry and Strabane,N09000005,43,2,55900,2,38,1,16500,2,19,1,148700
6,Fermanagh and Omagh,N09000006,6,9,27500,7,24,6,8100,10,12,7,114100
7,Lisburn and Castlereagh,N09000007,4,11,18300,11,14,11,6600,11,9,11,128700
8,Mid and East Antrim,N09000008,11,6,25300,9,19,8,8400,8,11,8,134100
9,Mid Ulster,N09000009,8,8,32900,6,24,5,10100,6,13,6,135200
10,"Newry, Mourne and Down",N09000010,14,3,43900,3,26,3,13000,4,13,4,170000
11,North Down and Ards,N09000011,5,10,25400,8,16,10,8800,7,10,10,156500
