OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,11/04/2017,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,HMO Network,99,0,"1 x place, HMO Seminar",Training & Conferences,261520
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Prizet Filling Station,23.96,0,23.59L Diesal fuel hire car Parkex,Fuel,381100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Amadeus NEC,25.42,0,4X Lunch NEC Parkex,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,21/04/2017,Management Team,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Premier Inn ,207.98,0,Accomodation ,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,21/04/2017,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Premier Inn ,415.96,0,Accomodation ,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,10/04/2017,Asst Dir Social Enterprise,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Water Hygiene Centre,51,0,Attendance at Conference x 1 delegate,Training & Conferences,261510
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,10/04/2017,Corporate Asset Manager,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Water Hygiene Centre,51,0,Attendance at Conference x 1 delegate,Training & Conferences,261510
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,13/04/2017,Corporate Asset Manager,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Greggs,43.5,0,Bacon sandwiches for contractors mtg,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,12/04/2017,Flood Schemes,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,south lakes tree surgeons,140,0,bark chippings,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,18/04/2017,Kendal Market Hall,External Trading Accounts,http://opendatacommunities.org/def/concept/finance/sercop/objective/,Safety Buyer,60.93,0,Barrier for Kendal Indoor Market,Security,192200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,19/04/2017,Kendal Depot,Transport,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Ampwire,439.8,0,Benches,Commercial Furniture,211000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,03/04/2017,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Poundland,11,0,Biscuits for KTH,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,25/04/2017,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Poundland,8,0,Biscuits for KTH,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,28/04/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,B & Q,6.66,0,Black spray paint,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,19/04/2017,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,SportsDirect,26.66,5.33,Boots for cleaner,Not Elsewhere Classified,149999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,05/04/2017,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,J F Martin & Co,13.03,2.61,Brush and mop ,Cleaning Materials,131000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,05/04/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Argos,74.99,0,Camera,Hardware,271200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,09/04/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Currys,8.33,0,Camera case,Hardware,271200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,12/04/2017,Flood Schemes,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,south lakes tree surgeons,4.2,0,card charge for bark chippings,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,26/04/2017,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,AVADO,2162.5,0,CIPD Course,Training & Conferences,261520
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,13/04/2017,Asst Dir Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Premier Inn,238.33,0,CIPFA course: accommodation,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,03/04/2017,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CIPS,187.68,0,CIPS Membership,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,03/04/2017,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CIPS,132.6,0,CIPS Membership,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,14/04/2017,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,McClures,45.55,0,Cleaning Products Ferry Nab Toilet Block,Cleaning Materials,131000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,24/04/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,lakeland supplies,43,0,combination locks,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,12/04/2017,Legal Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Reed Online Ltd,175,0,Employment Agency advertising,Advertising,191010
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,07/04/2017,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,AMAZON UK,74.96,0,EQUIPMENT,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Information Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SAINSBURYS,60,0,EQUIPMENT,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Information Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SAINSBURYS,60,0,EQUIPMENT,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Information Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SAINSBURYS,60,0,EQUIPMENT,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,15/06/2017,06/04/2017,Information Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SAINSBURYS,60,0,EQUIPMENT,Consumables,271100
