Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,566,552,720,703,1496,1483,1159,1123,352,349,0,0,"4,293","4,210",68,68,0,0,35,34,6,6,109,108,"4,402","4,318","£11,911,207.03","£944,733.67","£33,482.06","£244,666.84","£2,556,028.46","£929,475.15","£16,619,593.21","£329,288.54","£121,771.99","£451,060.53","£17,070,653.74",The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,34,31.47,18,16.76,14,11.75,9,9,1,1,5,5,81,75,,,,,,,,,0,0,81,75,"£158,481.00","£10,221.00",£0.00,"£5,641.00","£34,084.00","£12,644.00","£221,071.00","£2,160.00",,"£2,160.00","£223,231.00",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,25,23.11,219,203.86,768,752.09,286,284.12,71,70.2,,,"1,369","1,333",64,63.06,86,84.61,,,,,150,147.67,"1,519","1,481","£4,170,351.93","£834,959.97","£8,555.54","£35,968.98","£911,891.78","£317,298.28","£6,279,026.48","£638,398.11",,"£638,398.11","£6,917,424.59",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,5,4.5,2,2,1,1,,,8,8,,,,,,,,,0,0,8,8,"£27,521.17","£1,203.69",,,"£2,226.41","£2,925.95","£33,877.22",,,£0.00,"£33,877.22",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,6,6,10,10,2,2,2,2,,,20,20,1,1,,,,,,,1,1,21,21,"£72,687.96",,,,"£13,053.66","£6,848.28","£92,589.90","£4,089.77",,"£4,089.77","£96,679.67",
FCO Services,Executive Agency,Foreign and Commonwealth Office,166,164.12,177,172.2,450,437.59,129,128.4,5,4.57,0,0,927,907,49,48.59,10,10,184,182.4,0,0,243,240.99,"1,170","1,148","£2,422,941.79","£464,018.03","£7,368.00","£225,402.16","£510,680.88","£227,986.44","£3,858,397.30","£1,769,727.95",£0.00,"£1,769,727.95","£5,628,125.25", 
FCO (UKTI),Non-Ministerial Department,Foreign and Commonwealth Office,3,3,4,4,81,81,75,75,26,26,0,0,189,189,,,,,,,,,0,0,189,189,"£726,702.98","£12,949.10",£600.00,£0.00,"£158,756.66","£33,775.41","£932,784.15",,,£0.00,"£932,784.15",The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
