Supplier,Payment Date,Amount
1ST CLASS CARS,01/02/2011,1189.1
4CHILDREN,10/02/2011,600
4CHILDREN,22/02/2011,576
A & B GLASS,07/02/2011,76669.47
A G CARE LIMITED,02/02/2011,981.57
A G CARE LIMITED,03/02/2011,853.55
A G CARE LIMITED,03/02/2011,630.33
A G CARE LIMITED,03/02/2011,716.47
A G CARE LIMITED,03/02/2011,1641.4
A G CARE LIMITED,03/02/2011,949.97
A G CARE LIMITED,03/02/2011,1218.03
A G CARE LIMITED,03/02/2011,693.02
A G CARE LIMITED,03/02/2011,838.88
A G CARE LIMITED,03/02/2011,548.5
A G CARE LIMITED,03/02/2011,699.29
A G CARE LIMITED,03/02/2011,1912.5
A G CARE LIMITED,04/02/2011,2015.58
A G CARE LIMITED,04/02/2011,1042.4
A G CARE LIMITED,04/02/2011,771.62
A G CARE LIMITED,04/02/2011,652.85
A G CARE LIMITED,04/02/2011,530.08
A G CARE LIMITED,04/02/2011,744.34
A G CARE LIMITED,04/02/2011,558.28
A G CARE LIMITED,04/02/2011,582.67
A G CARE LIMITED,04/02/2011,713.58
A G CARE LIMITED,04/02/2011,902.55
A G CARE LIMITED,04/02/2011,535.3
A G CARE LIMITED,07/02/2011,1730.92
A G CARE LIMITED,07/02/2011,858.73
A G CARE LIMITED,07/02/2011,746.09
A G CARE LIMITED,07/02/2011,671.44
A G CARE LIMITED,07/02/2011,944.84
A G CARE LIMITED,07/02/2011,654.12
A G CARE LIMITED,07/02/2011,694.4
A G CARE LIMITED,07/02/2011,666.97
A G CARE LIMITED,07/02/2011,919.4
A G CARE LIMITED,07/02/2011,1654.24
A G CARE LIMITED,07/02/2011,693.2
A G CARE LIMITED,07/02/2011,651.13
A G CARE LIMITED,07/02/2011,865.56
A G CARE LIMITED,07/02/2011,1683.98
A G CARE LIMITED,07/02/2011,905.16
A G CARE LIMITED,07/02/2011,674
A G CARE LIMITED,07/02/2011,1614.26
A G CARE LIMITED,07/02/2011,874.02
A G CARE LIMITED,07/02/2011,1044.92
A G CARE LIMITED,07/02/2011,605.58
A G CARE LIMITED,07/02/2011,628.87
A G CARE LIMITED,07/02/2011,765
A G CARE LIMITED,07/02/2011,556.3
A G CARE LIMITED,07/02/2011,725.48
A G CARE LIMITED,07/02/2011,655
A G CARE LIMITED,07/02/2011,611.25
A G CARE LIMITED,08/02/2011,690.41
A G CARE LIMITED,08/02/2011,652.9
ABC TAXIS KENT LIMITED,16/02/2011,2764.8
ABLE ESTATES LIMITED,03/02/2011,621.37
ABSOLUTE HYGIENE SOLUTIONS LTD,28/02/2011,805.64
ABSOLUTE PUBLISHING LIMITED,14/02/2011,900
ACADEMY TRAINING & CONSULTANCY,22/02/2011,594
ACCOUNT GENERAL OF THE SENIOR COURTS,10/02/2011,5720.08
ACCURATE ROOFING  (UK) LTD,07/02/2011,52293.77
ACHILLEUS LIMITED,08/02/2011,1693.92
ACTION SHUTTERS LTD,07/02/2011,616.88
ACTION SHUTTERS LTD,22/02/2011,594
ACTION SHUTTERS LTD,28/02/2011,2285.38
ADECCO UK LTD,02/02/2011,963.88
ADECCO UK LTD,04/02/2011,1039.68
ADECCO UK LTD,10/02/2011,1039.68
ADECCO UK LTD,17/02/2011,1039.68
