Pupils by school type and management type 2001/02,Controlled,Catholic Maintained (see Note 2),Other Maintained - Irish Medium (see Note 1),Other Maintained - Other ,Controlled Integrated,Grant Maintained Integrated,Voluntary - Schools under Catholic Management,Voluntary - Schools under Other Management,Non Grant-Aided ,Voluntary pre-school centres,Private pre-school centres,Grand Total
PRE-SCHOOL EDUCATION IN OTHER CENTRES (FUNDED PLACES ONLY) - Playgroups - Part-time , - , - , - , - , - , - , - , - , - ,"4,764",361,"5,125"
PRE-SCHOOL EDUCATION IN OTHER CENTRES (FUNDED PLACES ONLY) - Day Nurseries - Part-time , - , - , - , - , - , - , - , - , - , - ,207,207
PRE-SCHOOL EDUCATION IN OTHER CENTRES (FUNDED PLACES ONLY) - Other Provision - Part-time , - , - , - , - , - , - , - , - , - ,8, - ,8
PRE-SCHOOL EDUCATION IN OTHER CENTRES (FUNDED PLACES ONLY) - TOTAL, - , - , - , - , - , - , - , - , - ,"4,772",568,"5,340"
NURSERY - Nursery Schools - Full-time,"1,982","1,399", - , - , - , - , - , - , - , - , - ,"3,381"
NURSERY - Nursery Schools - Part-time,"2,504",208, - , - , - , - , - , - , - , - , - ,"2,712"
NURSERY - Nursery Classes - Full-time,"1,833","1,644", - ,26, - ,26, - , - , - , - , - ,"3,529"
NURSERY - Nursery Classes - Part-time,"1,838","1,341", - , - , - ,304, - , - , - , - , - ,"3,483"
NURSERY - TOTAL,"8,157","4,592", - ,26, - ,330, - , - , - , - , - ,"13,105"
PRIMARY - Reception - Primary Schools,473,945, - ,3,24, - , - , - , - , - , - ,"1,445"
PRIMARY - Reception - Prep. Departments (see Note 3), - , - , - , - , - , - , - , - , - , - , - , - 
PRIMARY - Primary schools (Year 1 - Year 7) (see Note 2),"82,119","78,742","1,219",424,"1,467","3,912", - , - , - , - , - ,"167,883"
PRIMARY - Prep. Departments (Year 1- Year 7),402, - , - , - , - , - , - ,"2,268", - , - , - ,"2,670"
PRIMARY - TOTAL,"82,994","79,687","1,219",427,"1,491","3,912", - ,"2,268", - , - , - ,"171,998"
SECONDARY (Year 8 - Year 14) - Secondary (Non Grammar),"38,163","45,008",342, - ,"1,968","7,279", - , - , - , - , - ,"92,760"
SECONDARY (Year 8 - Year 14) - Grammar,"14,779", - , - , - , - , - ,"27,894","20,070", - , - , - ,"62,743"
SECONDARY (Year 8 - Year 14) - TOTAL,"52,942","45,008",342, - ,"1,968","7,279","27,894","20,070", - , - , - ,"155,503"
SPECIAL,"4,359",247, - ,104, - , - , - , - , - , - , - ,"4,710"
HOSPITAL,246, - , - , - , - , - , - , - , - , - , - ,246
INDEPENDENT, - , - , - , - , - , - , - , - ,"1,072", - , - ,"1,072"
GRAND TOTAL,"148,698","129,534","1,561",557,"3,459","11,521","27,894","22,338","1,072","4,772",568,"351,974"
Note 1.  Excludes one Irish Medium Catholic Maintained school.   ,,,,,,,,,,,,
Note 2.  Catholic Maintained PS yr1-yr7 - Includes one Irish Medium school with an enrolment of 202 pupils. ,,,,,,,,,,,,
Note 3.  Revised figures.,,,,,,,,,,,,
