Department,Organisation Name,Basis for expenditure approval,Project name,Value (£M),Total Value Requested (£M),Total Value Approved (£M),Basis for Exception,Approval month,Civil Service Grade (FTE) AA/AO,Civil Service Grade (FTE) EO,Civil Service Grade (FTE) HEO,Civil Service Grade (FTE) SEO,Civil Service Grade (FTE) Grade 6/7,Civil Service Grade (FTE) SCS,Unknown (FTE),Civil Service Grade (Headcount) AA/AO,Civil Service Grade (Headcount) EO,Civil Service Grade (Headcount) HEO,Civil Service Grade (Headcount) SEO,Civil Service Grade (Headcount) Grade 6/7,Civil Service Grade (Headcount) SCS,Unknown (headcount),Total approvals (Headcount),Total Approvals (FTE),Date of update
Foreign and Commonwealth Office,FCO,Business critical/front line recruitment,N/A,N/A,N/A,N/A,,,37,9,0.5,0,5.5,2,4,37,9,0.5,0,5.5,2,4,58,58,Jul - Sept 2013
Foreign and Commonwealth Office,FCO Services,Business critical/front line recruitment,N/A,N/A,N/A,N/A,,,9,12,10,0,5,0,0,9,12,10,0,5,0,0,36,36,Jul - Sept 2013
Foreign and Commonwealth Office,Wilton Park,Business critical/front line recruitment,N/A,N/A,N/A,N/A,,,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,Jul - Sept 2013
Foreign and Commonwealth Office,Westminster Foundation for Democracy,Business critical/front line recruitment,N/A,N/A,N/A,N/A,,,0,1,2,0,0,0,0,0,1,2,0,0,0,0,3,3,Jul - Sept 2013
Foreign and Commonwealth Office,Marshall Aid Commemoration Commission,Business critical/front line recruitment,N/A,N/A,N/A,N/A,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jul - Sept 2013
Foreign and Commonwealth Office,Great Britain China Centre,Business critical/front line recruitment,N/A,,N/A,N/A,,,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,Jul - Sept 2013
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
