Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,31/08/2015,PC140/38,7.54,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/39,37.42,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30229,Central Services to the Public,BANNER,31/08/2015,PC140/40,4.16,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/41,40.65,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/42,63.15,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,31/08/2015,PC140/43,2.42,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,31/08/2015,PC140/44,2.42,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/45,31.66,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/46,2.42,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1312,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/47,6.21,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3814,30229,Over/Under Recovery on Support Services,BANNER,31/08/2015,PC140/48,68.07,STATIONERY,Stationery,GPC
