Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mileage Allowance UK-UKTI (BIS) Devolved Admin,"Strategic Trade - Energy, Advanced Engineering and ICT","Personal Expense, Name Witheld",20825,10.26,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other Travel-UKTI (BIS) Devolved Admin,"Strategic Trade - Energy, Advanced Engineering and ICT","Personal Expense, Name Witheld",20825,9,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mileage Allowance UK-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,"Personal Expense, Name Witheld",20826,42.3,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Rail Travel Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,17.38,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hotel & Accommodation Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,1070.17,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,120.13,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,90,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,35.38,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,126.15,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",20827,90.64,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Rail Travel Overseas-UKTI (BIS) Devolved Admin,Strategic Trade - Infrastructure & Life Science,"Personal Expense, Name Witheld",20828,114.71,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hotel & Accommodation Overseas-UKTI (BIS) Devolved Admin,Strategic Trade - Infrastructure & Life Science,"Personal Expense, Name Witheld",20828,234.29,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Strategic Trade - Infrastructure & Life Science,"Personal Expense, Name Witheld",20828,60,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Strategic Trade - Infrastructure & Life Science,"Personal Expense, Name Witheld",20828,27,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other Travel-UKTI (BIS) Devolved Admin,Strategic Trade - Infrastructure & Life Science,"Personal Expense, Name Witheld",20828,3,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Taxi Services UK-UKTI (BIS) Devolved Admin,Marketing & Communications - Communications,"Personal Expense, Name Witheld",20829,38.07,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hotel & Accommodation UK-UKTI (BIS) Devolved Admin,Marketing & Communications - Communications,"Personal Expense, Name Witheld",20829,117.46,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other Travel-UKTI (BIS) Devolved Admin,Marketing & Communications - Communications,"Personal Expense, Name Witheld",20829,3.7,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Taxi Services UK-UKTI (BIS) Devolved Admin,Trade Development - Partnerships & Business,"Personal Expense, Name Witheld",20830,22,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mileage Allowance UK-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,"Personal Expense, Name Witheld",20831,46.35,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other Travel-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,"Personal Expense, Name Witheld",20831,27.5,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Taxi Services UK-UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,"Personal Expense, Name Witheld",20832,6.2,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Rail Travel UK-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Senior Military Adviser,"Personal Expense, Name Witheld",20833,7.5,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mileage Allowance UK-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,"Personal Expense, Name Witheld",20834,83.7,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other Travel-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,"Personal Expense, Name Witheld",20834,27,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hotel & Accommodation Overseas-UKTI (BIS) Devolved Admin,"Strategic Trade - Emerging Markets, China & Southern Asia","Personal Expense, Name Witheld",20836,179.14,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,"Strategic Trade - Emerging Markets, China & Southern Asia","Personal Expense, Name Witheld",20836,20,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,"Strategic Trade - Emerging Markets, China & Southern Asia","Personal Expense, Name Witheld",20836,77,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other ICT Costs-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,20837,272.64,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other ICT Costs-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,20837,1342.35,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Other ICT Costs-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,20837,550.24,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Static Line Rental-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,MINISTRY OF DEFENCE,20851,2041.45,,L2 3YL,WGA ONLY,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hire of Agency Staff-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,ADECCO UK LTD,20861,1046.2,,B37 7YE,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Hire of Agency Staff-UKTI (BIS) Devolved Admin,Chief Operating Officer - Chief Operating Officer,ADECCO UK LTD,20874,946.79,,B37 7YE,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Publications-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,JONES YARRELL LEADENHALL,20899,46.64,,E3 3JG,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20925,2.54,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",VODAFONE LTD,20940,-3.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",VODAFONE LTD,20943,-2.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",VODAFONE LTD,20945,-3.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",VODAFONE LTD,20946,-3.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Telecoms-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,VODAFONE LTD,20951,-3.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20967,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20969,1,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20969,50.49,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20981,26.66,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20984,22.75,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,03/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20986,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,19617,9.9,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,19874,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Phones-UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development",VODAFONE LTD,19905,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,19978,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,19979,13.17,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,19990,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20012,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20014,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20017,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20161,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20169,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20170,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20214,4.8,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Rail Travel UK-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20841,252.95,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Taxi Services UK-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20841,32,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Hotel & Accommodation UK-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20841,71,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Subsistence UK-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20841,11.9,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Stationery-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",BANNER BUSINESS SERVICES LTD,20881,56.56,,NR3 1QU,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,20891,-3.82,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20901,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",VODAFONE LTD,20913,9.15,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Advertising-UKTI (BIS) Devolved Admin,Chief Operating Officer - Strategy & Human Resources,JONES YARRELL LEADENHALL,20927,31.8,,E3 3JG,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Publications-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Head DSO Office,JONES YARRELL LEADENHALL,20930,36.63,,E3 3JG,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,External Training-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,CAPITA BUSINESS SERVICES LTD,20941,259,,DL1 9HN,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20956,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20964,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,20964,1.69,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Professional Subscriptions-UKTI (BIS) Devolved Admin,Trade Development - Service Delivery,"Personal Expense, Name Witheld",20987,155,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Taxi Services UK-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20988,40,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Taxi Services Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20988,52.27,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Hotel & Accommodation Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20988,175.68,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20988,7.55,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Subsistence Overseas-UKTI (BIS) Devolved Admin,Investment Development - Strategic Relationship Management,"Personal Expense, Name Witheld",20988,20,,SW1H 0ET,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Stationery-UKTI (BIS) Devolved Admin,"Trade Development - Managing Director, Trade Development",BANNER BUSINESS SERVICES LTD,20991,160.34,,NR3 1QU,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,External Training-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,CAPITA BUSINESS SERVICES LTD,21001,259,,DL1 9HN,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,21005,12.83,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,Defence and Security Organisation - Business Development,VODAFONE LTD,21005,-12.83,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Mobile Call Charges-UKTI (BIS) Devolved Admin,"Strategic Trade - Managing Director, Strategic Trade",VODAFONE LTD,21005,15.39,,RG14 5FF,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Hire of Agency Staff-UKTI (BIS) Devolved Admin,Chief Operating Officer - IT and Finance,CAPITA RESOURCING LTD,21017,6996,,DL1 9HN,VENDOR,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Rail Travel UK-UKTI (BIS) Devolved Admin,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",21220,7.8,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/02/2014,Subsistence UK-UKTI (BIS) Devolved Admin,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation","Personal Expense, Name Witheld",21220,5,,,EMPLOYEE,,,Administration
