Grant for Business Investment: July - September '10 (1)(2),,,,,,,,,,


,,     East,,North,North,South,South,   West,     Yorkshire,England
,East,Midlands,London,             East,            West,   East,           West,Midlands,      and,
,,,,,,,,,Humberside,

Number of Offers,-,-,-,7,1,-,-,-,1,9

Value of Offers (£000),-,-,-,"2,076","1,200",-,-,-,"1,875","5,151"
,,,, ,,,,,,
(1) Date offer accepted.,,,,,,,,,,
(2) The Grant for Business Investment scheme is effective from 23 October 2008.,,,,,,,,,,
