"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","The Pensions Advisory Service","Chief Executive's Office","94","Band 4","25149","37471","Professional Support Managers","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Chief Executive's Office","94","Band 5","17675","27502","Admin Support","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 1","55550","65650","Head of Corporate Services","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 4","25149","37471","Professional Support Managers","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Corporate Services","94","Band 5","17675","27502","Admin Support","4.90","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Policy and Technical Development","94","Band 1","55550","65650","Head of Policy & Technical Development","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Policy and Technical Development","94","Band 2","33229","52217","Technical Specialists","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information and Guidance","94","Band 1","55550","65650","Head of Information & Guidance","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information and Guidance","94","Band 2","33229","52217","Technical Specialists","16.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Information and Guidance","94","Band 3","32900","40000","Assistant Technical Specialists","2.60","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 1","55550","65650","Head of Dispute Resolution","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 3","32900","40000","Assistant Technical Specialists","1.00","Operational Delivery"
"Department for Work and Pensions","The Pensions Advisory Service","Dispute Resolution","94","Band 2","33229","52217","Technical Specialists","8.80","Operational Delivery"
