DCELL15CD,DCELL15NM,DCELL15NMW,OBJECTID
W16000001,North Wales,Gogledd Cymru,0
W16000002,South West/Mid Wales,De-orllewin/Canolbarth Cymru,1
W16000003,South Wales,De Cymru,2
W16000004,South East Wales,De-ddwyrain Cymru,3
