Supplier,Payment Date,Amount
15BILLION,19/03/2012,15780.00
2X SOFTWARE LTD UK,14/03/2012,5640.00
4CHILDREN,07/03/2012,12653.50
4CHILDREN,14/03/2012,720.00
4CHILDREN,30/03/2012,1547.00
4CHILDREN,29/03/2012,1381.84
4CHILDREN,29/03/2012,1036.80
A & B GLASS,05/03/2012,1854.23
A A AGENCY,09/03/2012,758.09
A1 SEE-CURE,08/03/2012,559.08
ABN AMRO COMMERCIAL FINANCE PLC,22/03/2012,2625.94
ABN AMRO COMMERCIAL FINANCE PLC,28/03/2012,2789.38
ACCORD LIFT SERVICES LTD,20/03/2012,161446.80
ACCURATE ROOFING  (UK) LTD,26/03/2012,30507.54
ACUMENSION,07/03/2012,2728.32
AD HOC PROPERTY MANAGEMENT LTD,06/03/2012,7622.29
ADDING VALUE MATHS CONSULTANCY LTD,20/03/2012,3360.00
ADECCO UK LTD,02/03/2012,1044.77
ADECCO UK LTD,14/03/2012,986.08
ADECCO UK LTD,14/03/2012,986.08
ADECCO UK LTD,20/03/2012,997.81
ADECCO UK LTD,27/03/2012,986.08
ADIEMUS CARE LIMITED (LAURISTON HOUSE),26/03/2012,3617.39
ADONIS DESIGN LTD,06/03/2012,756.25
ADONIS DESIGN LTD,06/03/2012,806.25
ADONIS DESIGN LTD,13/03/2012,743.75
ADONIS DESIGN LTD,30/03/2012,743.75
ADONIS DESIGN LTD,30/03/2012,537.50
ADT FIRE AND SECURITY PLC,22/03/2012,36115.58
ADVANCE SEATING DESIGNS,15/03/2012,7747.56
ADVOCACY FOR OLDER PEOPLE,30/03/2012,534.94
AF STARR BUILDING CONTRACTORS,14/03/2012,561.60
AF STARR BUILDING CONTRACTORS,16/03/2012,1401.60
AF STARR BUILDING CONTRACTORS,30/03/2012,1596.00
AGE CONCERN GREENWICH,02/03/2012,17500.00
AGE CONCERN GREENWICH,15/03/2012,95075.00
AGE CONCERN GREENWICH,19/03/2012,19384.62
AGE CONCERN GREENWICH,19/03/2012,19384.62
AGE UK BROMLEY & GREENWICH,30/03/2012,19384.62
AIR MANAGEMENT SYSTEMS LTD,14/03/2012,537.12
AIR SURVEYS LIMITED,05/03/2012,2996.70
AIR SURVEYS LIMITED,30/03/2012,2655.00
AIRWAVE  SOLUTIONS LTD,01/03/2012,1433.01
