,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
BIS,NMO,22/10/2010,Building Construction,Estates,Amey Community Ltd.,90249268,428615.85
BIS,NMO,22/10/2010,Building Service Charges,Estates,Amey Community Ltd.,90253667,305493.99
BIS,NMO,29/10/2010,Building Construction,Estates,Amey Community Ltd.,90253704,48631.52
BIS,NMO,29/10/2010,Building Construction,Estates,Amey Community Ltd. ,90253707,49565.48
BIS,NMO,29/10/2010,Building Construction,Estates,Amey Community Ltd.,90253708,196215.76
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,LGC Ltd,50034942,61054.00
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,LGC Ltd,50036188,204862.00
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,LGC Ltd,50036189,45449.00
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,LGC Ltd,50036420,94404.00
BIS,NMO,15/10/2000,Building Construction,Estates,MITIE Engineering Ltd,1750,25895.83
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1888,354310.29
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1889,458884.09
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1890,71122.21
BIS,NMO,13/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1892,705921.02
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1893,494854.15
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1896,427755.30
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1897,85147.79
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1898,465662.57
BIS,NMO,13/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1899,730381.67
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1903,126394.79
BIS,NMO,13/10/2010,Building Construction,Estates,Royal Parks,00001100,28908.58
BIS,NMO,13/10/2010,Laboratory Testing,Utilities,SGS United Kingdom Ltd,GBE132402,53933.17
BIS,NMO,07/10/2010,NMS Science Programmes,Programmes,TUV NEL ltd,1790007695,238000.00
,,,,,,,
