Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,23/01/2014,30012437,625.00 ,93ft Ltd,15658,Peak District Walking Festival,General Advertising & Publicity,4810,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011959,"2,640.00 ",A.L.S. Scaffolding Hire Ltd,12352,Closed Churchyards,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/01/2014,30011993,"1,670.00 ",ACAS,15730,Training,General Corporate Training,1411,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/01/2014,30011996,809.20 ,allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/01/2014,30011997,"1,298.77 ",allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/01/2014,20089429,"5,000.00 ",Anthony Gell Foundation (ATP Account),10058,Parks Development Fund,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/01/2014,30012451,"18,278.00 ",Anthony Gell Foundation (ATP Account),10058,Wirksworth Leisure Centre,Income Reimbursement A Gell School,5204,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"3,445.63 ",Arvato Public Sector Services Ltd,14915,Central Processing Unit,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"3,804.32 ",Arvato Public Sector Services Ltd,14915,Revenues Management,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"19,021.62 ",Arvato Public Sector Services Ltd,14915,Council Tax Collection,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"5,621.82 ",Arvato Public Sector Services Ltd,14915,Miscellaneous Income,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"2,853.24 ",Arvato Public Sector Services Ltd,14915,NNDR Collection,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011984,"21,874.85 ",Arvato Public Sector Services Ltd,14915,Housing & Council Tax Benefits,"Contract for Revenues, Benefits & Accounts Payable",5601,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,27/01/2014,30012361,"1,141.20 ",ASA Awards,10081,Bakewell Swimming Pool,Purchases of Items for Resale,4063,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/01/2014,30011905,"8,697.00 ",Atkins Ltd,15709,Planning Policy,Consultancy Services,4403,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/01/2014,30012153,500.00 ,Badminton England,15667,Sports Development,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/01/2014,30012225,900.00 ,Barleymans,10164,Housing Strategy,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/01/2014,30012227,600.00 ,Barleymans,10164,Housing Strategy,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/01/2014,30012229,548.00 ,Barleymans,10164,Housing Strategy,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,20089370,"1,786.00 ",Bradwell Parish Council,57016,PC Reimbursements - Playing Fields,PC Reimbursable Expenditure,5203,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/01/2014,30012552,"6,991.00 ",Bristol Street Motors,13900,Vehicles,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,22/01/2014,30012112,"1,698.93 ",British Gas Business,15058,Depot Holding Account,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/01/2014,30011980,"7,258.58 ",British Telecom PLC,10252,Information Technology,Telephone Leased Lines & Broadband,4542,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,23/01/2014,30012299,"1,302.78 ",British Telecom PLC,10252,Customer Services,Telephone Rental and Charges,4502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,23/01/2014,30012313,"4,602.00 ",British Telecom PLC,10252,Arc Leisure Matlock,Telephone Rental and Charges,4502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,23/01/2014,30012313,"2,343.91 ",British Telecom PLC,10252,Information Technology,Telephone Leased Lines & Broadband,4542,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/01/2014,30012139,"4,617.06 ",British Telecom PLC - Wton Intra Connect Services,15692,Information Technology,Telephone Leased Lines & Broadband,4542,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/01/2014,30012173,"1,035.00 ",Chemodex Limited,14966,Vehicles & Plant,Lubricants,3125,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011906,500.00 ,Chesterfield Law Centre,15727,Homelessness,Mortgage Rescue Programme,4806,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/01/2014,30012150,"7,150.98 ",Competition Line (U.K.) Ltd,10380,Ashbourne Leisure Centre,Competition Line - Gym Fees,4834,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/01/2014,30012543,"1,044.45 ",D J McFarlane t/a Aquaman Design,12070,Sports Development,Purchase of Equipment - General,4000,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/01/2014,30012192,"3,195.00 ",David Dykes t/a Copper Dog Ltd,15595,Peak District Walking Festival,General Advertising & Publicity,4810,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/01/2014,20089378,533.44 ,Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/01/2014,20089379,518.88 ,Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/01/2014,30012164,"6,347.00 ",Derbyshire County Council,10506,Local Land Charges,DCC - Search Fees,4470,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/01/2014,30012163,"52,277.85 ",Derbyshire County Council,10506,Wheeled Bins (Trade),Tipping Charges,4466,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/01/2014,30012163,668.93 ,Derbyshire County Council,10506,Green Sack Collection,Tipping Charges,4466,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,25/01/2014,30012452,"2,083.00 ",Derbyshire County Council,10506,Wirksworth Leisure Centre,Income Reimbursement A Gell School,5204,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,29/01/2014,20089444,"2,352.14 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,30/01/2014,30012463,"40,167.96 ",Derbyshire County Council,10506,Cleansing Contract Holding Account,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,30/01/2014,20089460,750.00 ,Derbyshire Federation for Mental Health,13274,Community  Grants,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,02/01/2014,30011937,"1,374.03 ",Derbyshire Times Newspaper Group,10463,Car Parking,General Advertising & Publicity,4810,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/01/2014,30011801,"13,166.00 ",Derwent Treescapes Limited,10469,Car Parking,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,633.79 ,Derwent Treescapes Limited,10469,Car Parking,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,894.09 ,Derwent Treescapes Limited,10469,Closed Churchyards,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,"1,759.41 ",Derwent Treescapes Limited,10469,Agricultural Business Centre Bakewell,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,569.90 ,Derwent Treescapes Limited,10469,Parks & Recreation,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,683.53 ,Derwent Treescapes Limited,10469,Depot Holding Account,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/01/2014,30011806,868.49 ,Derwent Treescapes Limited,10469,Matlock Town Hall,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/01/2014,30012183,640.00 ,Design Everything,15728,Sports Development,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/01/2014,30012053,"8,350.00 ",Diamond Forklifts Ltd,15290,Vehicles,Miscellaneous Capital Expend,C007,Capital
