CTRY16CD,CTRY16NM,CTRY16NMW,FID
E92000001,England,Lloegr,1
K02000001,United Kingdom,Y Deyrnas Gyfunol,2
K03000001,Great Britain,Prydain Fawr,3
K04000001,England and Wales,Cymru a Lloegr,4
N92000002,Northern Ireland,Gogledd Iwerddon,5
S92000003,Scotland,Yr Alban,6
W92000004,Wales,Cymru,7
