Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
The Rt Hon Theresa Villiers MP,01-Dec-10,"Brussels, Belgium",To attend EU Transport Council,Eurostar,,£528
Parliamentary Under Secretary of State for Transport –  Mike Penning MP,27 – 29 October 2010  ,"St Petersburg, Russia",Address Road Safety Conference,Charter,,"£1,518"
Parliamentary Under Secretary of State for Transport –  Mike Penning MP,23 – 25 November 2010,"Dublin, Ireland",Meet Transport Minister,Charter,,£202
