?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254796,1538.24,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254133,1471.36,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,MOBILE PHONE COSTS,24/10/2014,255232,850.66,EE LTD,104602
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,MOBILE PHONE COSTS,24/10/2014,255234,656.42,EE LTD,104602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,10/10/2014,254519,24643.24,ELECTRICAL SAFETY SYSTEMS LTD,100147
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,10/10/2014,254520,15028.05,ELECTRICAL SAFETY SYSTEMS LTD,100147
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,03/10/2014,254231,1185.00,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254865,450.00,EON ENERGY SERVICES LTD,101296
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255258,450.00,EON ENERGY SERVICES LTD,101296
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,DEPARTMENTAL HARDWARE,17/10/2014,254915,17205.00,ESRI (UK) LTD,100853
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,17/10/2014,254603,730.00,EUROTECH ENVIRONMENTAL LTD,100854
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,FREELANCE INSTRUCTORS,10/10/2014,254458,506.64,EXCEL SPORTS COACHING LTD,102052
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,31/10/2014,255526,13500.00,EXPERIENCE NOTTINGHAMSHIRE LTD,102053
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,31/10/2014,255489,457.88,FARMSTAR LTD,100161
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,31/10/2014,255490,420.07,FARMSTAR LTD,100161
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,03/10/2014,254162,3100.00,FOREST PAVING,100171
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,03/10/2014,254162,1180.00,FOREST PAVING,100171
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,STANDING CHARGES TELEPHONES,10/10/2014,254578,23662.61,GETRONICS UNIFIED COMMUNICATIONS (UK) LTD,104604
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,24/10/2014,255153,8500.00,GIFTWEND LTD,104692
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,24/10/2014,255125,767.00,GYM REPAIR SERVICES,101714
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,24/10/2014,255123,431.00,GYM REPAIR SERVICES,101714
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,10/10/2014,254509,15579.53,HALL FUELS,102155
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,24/10/2014,255195,15434.80,HALL FUELS,102155
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHAIRMAN  - CHARITY ACCOUNT,17/10/2014,254892,1583.81,HELP FOR HEROES,103835
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PURCHASE OF PROPERTY,15/10/2014,1169711,50000.00,HILL DICKINSON LLP,400040
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,LEGAL FEES COURTS,24/10/2014,255168,1494.00,HMCTS,101145
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,24/10/2014,255105,1055.75,HOME AND GARDEN REPAIRS,101970
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,10/10/2014,254495,650.00,HONEYWELL - NOVAR SYSTEMS LTD,100213
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254132,30637.01,IAN WILLIAMS LIMITED,100219
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254131,27869.16,IAN WILLIAMS LIMITED,100219
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254130,22876.70,IAN WILLIAMS LIMITED,100219
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255257,7448.00,IAN WILLIAMS LIMITED,100219
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254129,1766.75,IAN WILLIAMS LIMITED,100219
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,EQUIPMENT REPAIRS & RENEWALS,17/10/2014,254792,2250.00,IDOX SOFTWARE LTD,100738
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,COMPUTER SOFTWARE MAINTENANCE,17/10/2014,254793,950.00,IDOX SOFTWARE LTD,100738
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,24/10/2014,255159,2789.07,INTERNATIONAL ARTISTES SPORTS MANAGEMENT,101415
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,31/10/2014,255500,1341.00,INTERSERVE FSTD,104625
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT FOR RESALE,24/10/2014,255160,850.24,J P LENNARD LTD,100234
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,OTHER EQUIPMENT AND TOOLS,17/10/2014,254819,669.38,J P LENNARD LTD,100234
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,03/10/2014,254210,2390.00,J T DECORATORS,100806
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PREMISES REPAIRS & RENEWALS,24/10/2014,255151,1345.00,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CCTV OPERATION,24/10/2014,255228,800.00,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,31/10/2014,255440,517.00,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,REPAIRS AND MAINTENANCE,31/10/2014,255226,475.00,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,REPAIRS AND MAINTENANCE,24/10/2014,255163,459.00,JCP POWER & DATA CONTRACTORS LTD,100243
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROFESSIONAL SERVICES,03/10/2014,254113,985.00,JH TRAINING & DEVELOPMENT LTD,104693
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,17/10/2014,254858,876.70,JOHN MOORE SECURITY LTD,104694
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,24/10/2014,255110,635.00,JOHN MOORE SECURITY LTD,104694
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,24/10/2014,255098,586.67,JOHN MOORE SECURITY LTD,104694
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LEGAL FEES,03/10/2014,254223,500.00,KCH GARDEN SQUARE BARRISTERS,102751
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,LEGAL FEES,17/10/2014,254854,500.00,KCH GARDEN SQUARE BARRISTERS,102751
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,31/10/2014,255516,2280.00,KNIGHT KAVANAGH & PAGE,104515
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,AUDIT FEES (INTERNAL/EXTERNAL),31/10/2014,255427,18342.00,KPMG LLP,100264
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,10/10/2014,254518,610.00,LIBERATA (UK) LIMITED,101879
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,17/10/2014,254913,538.91,LINCOLNSHIRE RESCUE KENNELS,100282
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,03/10/2014,254232,5964.50,LODGE TYRE CO LTD,104560
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,COMPUTER SOFTWARE MAINTENANCE,10/10/2014,254464,5000.00,LOGOTECH SYSTEMS,100750
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,31/10/2014,255517,495.00,LUBBE & SONS (BULBS) LTD,100811
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,STATIONERY,03/10/2014,254282,1754.32,LYRECO UK LIMITED,101689
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,31/10/2014,255437,15000.00,M T BUILDERS,104695
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ADVERTISING,10/10/2014,254419,1031.50,M WIDDUP & SONS LTD,102821
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,03/10/2014,254125,1684.00,MANSFIELD WHEELS ACTIVITY CENTRE,101310
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255269,75718.10,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254864,59094.50,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255256,43876.24,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255138,1875.70,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROMOTION OF EVENTS,24/10/2014,255097,450.00,MDS COURIER SERVICES,104696
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,FLY TIPPING REMOVAL,24/10/2014,255186,940.00,MIDLANDS ASBESTOS SOLUTIONS LTD,104697
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MATERIALS,31/10/2014,255482,795.92,MITCHELL POWERSYSTEMS,101238
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,INWARD INVESTMENT MARKETING,31/10/2014,255501,4595.00,MORGAN TUCKER LTD,101883
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CLEANING MATERIALS,17/10/2014,254820,560.25,MSM HYGIENE LTD,104703
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,03/10/2014,254234,715.00,MUNTERS LTD,100347
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255255,21831.29,NATIONWIDE WINDOWS LIMITED,101404
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,31/10/2014,255522,6356.24,NATIONWIDE WINDOWS LIMITED,101404
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,03/10/2014,254233,2971.50,NAVMAN WIRELESS UK LTD,100353
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,03/10/2014,253847,1274.40,NAVMAN WIRELESS UK LTD,100353
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,SHERWOOD AND NEWARK CAB,14/10/2014,254741,889.00,NCC PENSION FUND,101894
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,10/10/2014,254148,825.00,NEIL ALLEN ASSOCIATES,104533
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,10/10/2014,254491,714.80,NEWARK & SHERWOOD PLAY SUPPORT GROUP,100362
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,10/10/2014,254491,650.00,NEWARK & SHERWOOD PLAY SUPPORT GROUP,100362
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ADVERTISING,10/10/2014,254571,1333.72,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,G410,REPAIRS AND MAINTENANCE,17/10/2014,255056,325301.66,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,G410,CONTRACTUAL SERVICES,17/10/2014,255056,311165.00,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACTUAL SERVICES,24/10/2014,255401,129873.00,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,RECHARGE THIRD PARTY,24/10/2014,255144,17163.75,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,10/10/2014,254711,2510.00,NEWARK NORTHERN BOWLS CLUB,100369
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,17/10/2014,254917,1080.00,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,STALL CLEARANCE,03/10/2014,254245,422.40,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,EMPLOYMENT & SKILLS,10/10/2014,254471,472.92,NEWARK TOWN COUNCIL,100374
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,EQUIPMENT REPAIRS & RENEWALS,24/10/2014,255239,1047.15,NOTTINGHAM AUDIO VISUAL SERVICES LTD,104704
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,MATERIALS,31/10/2014,255457,2112.79,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,31/10/2014,255457,2000.00,NOTTINGHAM CITY COUNCIL,100390
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PREMISES REPAIRS & RENEWALS,10/10/2014,254566,6320.00,NOTTINGHAM GROUNDS MAINTENANCE,102093
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,GROUNDS MAINTENANCE,10/10/2014,254494,780.00,NOTTINGHAM GROUNDS MAINTENANCE,102093
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTS CC PRECEPT,14/10/2014,254812,4409323.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NDR TARIFF,14/10/2014,254812,1025247.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,BUSINESS RATE SHARES,14/10/2014,254812,336622.60,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PAYMENTS TO NOTTS COUNTY CNCL,10/10/2014,254446,77691.45,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,RENT,24/10/2014,255101,12505.16,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PAYMENTS TO NOTTS COUNTY CNCL,17/10/2014,254923,5370.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,31/10/2014,255515,1380.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PARISH CNCLS AND VOL BODIES,10/10/2014,254421,1232.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PAYMENTS TO NOTTS COUNTY CNCL,17/10/2014,254922,1230.00,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,GOV GRANT EXPENDITURE,17/10/2014,254746,987.50,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CPU DECRIM PAYMENTS,10/10/2014,254420,550.00,NOTTINGHAMSHIRE COUNTY COUNCIL,101245
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTINGHAMSHIRE FIRE AND RESCU,14/10/2014,254814,257439.00,NOTTINGHAMSHIRE FIRE AUTHORITY,101572
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,BUSINESS RATE SHARES,14/10/2014,254814,37402.50,NOTTINGHAMSHIRE FIRE AUTHORITY,101572
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTS POLICE AUTHORITY PRECEPT,14/10/2014,254813,626766.56,NOTTS POLICE AND CRIME COMMISSIONER,101784
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,24/10/2014,255113,7560.66,NOTTS POLICE AND CRIME COMMISSIONER,101784
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,HARDWARE MAINTENANCE,17/10/2014,254753,9225.00,NOWCOMM LTD,100399
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254860,39886.42,NRA ROOFING & FLOORING SERVICES LTD,104589
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254159,5990.44,NRA ROOFING & FLOORING SERVICES LTD,104589
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,SECTION 106,03/10/2014,254416,2070.00,OLLERTON & BOUGHTON TOWN COUNCIL,100968
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CONTRACTUAL SERVICES,17/10/2014,254867,590.00,OTECH LIMITED,100765
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,24/10/2014,255158,2921.50,PARK PROMOTIONS LTD,100767
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,24/10/2014,255398,795.00,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,24/10/2014,255397,670.00,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,ELECTION EXPENSES,10/10/2014,254462,425.00,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,10/10/2014,254528,1010.12,PARTIC MOTOR SPARES LTD,100421
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,FUNCTIONS FOOD,03/10/2014,254227,714.96,PARTY TIME LIMITED,101769
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,PROFESSIONAL SERVICES,03/10/2014,254283,1330.00,PAUL DERRY LTD,100914
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,03/10/2014,254266,30000.00,PAUL HOLMAN ASSOCIATES LTD,100768
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,17/10/2014,254886,7360.32,PHIL MCINTYRE ENTERTAINMENTS LTD,104565
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,03/10/2014,254263,1272.71,PRINT IMAGE FACILITIES LLP,101902
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POSTAGES,03/10/2014,254262,501.51,PRINT IMAGE FACILITIES LLP,101902
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,ELECTION EXPENSES,24/10/2014,255134,654.00,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,ELECTION EXPENSES,24/10/2014,255133,629.00,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,ELECTION EXPENSES,24/10/2014,255136,608.00,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,ELECTION EXPENSES,24/10/2014,255135,585.00,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,03/10/2014,254134,2036.61,PTS PLUMBING TRADE SUPPLIES,101748
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,17/10/2014,254795,1381.63,PTS PLUMBING TRADE SUPPLIES,101748
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255259,698.54,PTS PLUMBING TRADE SUPPLIES,101748
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,03/10/2014,254115,10765.00,PURCELL MILLER TRITTON LLP,101037
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,QUADRANT MAINTENANCE,03/10/2014,254219,10906.25,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,REPAIRS AND MAINTENANCE,17/10/2014,254833,3195.00,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CCTV OPERATION,17/10/2014,254794,774.60,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHAIRMAN  - CHARITY ACCOUNT,17/10/2014,254893,1583.82,RAINBOWS HOSPICE,103390
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,SECTION 106,31/10/2014,255510,630.00,RAINWORTH VILLAGE HALL,101565
