?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,SEWERAGE AND WATER CHARGES,10/10/2014,254541,583.69,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,INTERNAL TRAINING,31/10/2014,255468,917.50,SHEFFIELD HALLAM UNIVERSITY,101822
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,COURSE FEES,10/10/2014,254469,520.00,SOLACE,100507
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,CONTRACTUAL SERVICES,24/10/2014,255114,3109.20,SOLON SECURITY LTD,101459
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,CONTRACTUAL SERVICES,03/10/2014,254241,572.00,SPOTLIGHT CLEANING SERVICES LTD,104619
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,POLICY & FINANCE SUPPORT,10/10/2014,254424,2500.00,STUART WILDE PHOTOGRAPHY,103506
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,17/10/2014,254887,2952.21,SWEENEY ENTERTAINMENTS,100529
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT BADGES,10/10/2014,254460,1126.00,SWIMMING TEACHERS ASSOCIATION,100530
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,EQUIPMENT BADGES,10/10/2014,254454,586.00,SWIMMING TEACHERS ASSOCIATION,100530
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PURCHASE OF VEHICLES,10/10/2014,254516,146819.50,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PURCHASE OF VEHICLES,10/10/2014,254517,146819.50,TERBERG MATEC UK LTD,100541
