Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,
CLG,Standards Board for England,01/10/2010,Corporate Training,HRC,OMNI RESOURCE MGT SOLUTIONS,56929, 583.98 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,CEO,ORANGE,56920, 41.30 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,GUI,ORANGE,56920, 41.18 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,HRC,ORANGE,56920, 17.05 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,IST,ORANGE,56920, 184.52 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,KNO,ORANGE,56920, 2.44 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,PST,ORANGE,56920, 18.14 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,REG,ORANGE,56920, 96.84 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,REP,ORANGE,56920, 183.74 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,FIN,ORANGE,56920, 35.16 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,STR,ORANGE,56920, 60.77 ,,
CLG,Standards Board for England,01/10/2010,Mobile Telephone,BRD,ORANGE,56920, 25.52 ,,
CLG,Standards Board for England,01/10/2010,Website Support,PUB,TERMINAL FOUR,56926," 6,641.10 ",,
CLG,Standards Board for England,04/10/2010,Press Office Services,COM,DURRANTS PRESS CUTTINGS LTD,56962," 1,485.44 ",,
CLG,Standards Board for England,04/10/2010,Internet Charges,IST,NODE 4 LIMITED,56921," 2,446.35 ",,
CLG,Standards Board for England,05/10/2010,Corporate Subscription,COM,NEWSPAPER LICENSING AGENCY,56956," 8,989.50 ",,
CLG,Standards Board for England,05/10/2010,Internal Audit Fees,PST,RSM TENON,56959, 511.13 ,,
CLG,Standards Board for England,05/10/2010,Professional Subscriptions,REP,SWEET AND MAXWELL,56927, 663.00 ,,
CLG,Standards Board for England,07/10/2010,Internet Charges,IST,KINGSTON COMMUNICATIONS,56974," 3,576.41 ",,
CLG,Standards Board for England,07/10/2010,Rates,FAC,MANCHESTER CITY COUNCIL,57120," 5,135.00 ",,
CLG,Standards Board for England,08/10/2010,Telephone and Fax - Land line,IST,BRITISH TELECOMMUNICATIONS PLC,56975," 1,996.18 ",,
CLG,Standards Board for England,08/10/2010,Service Charges,FAC,CLEANING NORTHWEST,56966," 1,349.46 ",,
CLG,Standards Board for England,08/10/2010,Accommodation,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 475.00 ,,
CLG,Standards Board for England,08/10/2010,Accommodation,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 349.99 ,,
CLG,Standards Board for England,08/10/2010,Accommodation,STR,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 127.00 ,,
CLG,Standards Board for England,08/10/2010,Accommodation,BRD,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 69.00 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,BRD,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 52.10 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,RSK,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 82.00 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,PST,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 335.70 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 202.30 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,REG,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 165.40 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,STR,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 577.90 ,,
CLG,Standards Board for England,08/10/2010,Travel - Train,CEO,LONSDALE TRAVEL LTD/CAPITA BUS,56980, 199.20 ,,
