CAL17CD,CAL17NM,FID
E56000003,West Yorkshire,1
E56000004,"Humber, Coast and Vale",2
E56000005,Cheshire and Merseyside,3
E56000006,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",4
E56000007,West Midlands,5
E56000008,East Midlands,6
E56000009,East of England,7
E56000010,South East London,8
E56000011,Kent and Medway,9
E56000012,Surrey and Sussex,10
E56000013,Thames Valley,11
E56000014,Peninsula,12
E56000015,"Somerset, Wiltshire, Avon and Gloucestershire",13
E56000016,Wessex,14
E56000017,North East and Cumbria,15
E56000018,Lancashire and South Cumbria,16
