"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","Grade 6 (national)","52708","63170","Head of Section/Chief Marine Officer","4","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","Grade 7 (national)","43221","51814","Head of Team/Deputy Chief Marine Officer","6","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","SEO (national)","33072","39404","Senior Executive Officer/District Marine Officer","7","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","HEO (national)","26745","30923","Higher Executive Officer/Senior Marine Officer","4","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","EO (national)","22698","25903","Executive Officer/Marine Officer","4","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","AO (national)","18148","19657","Administrative Officer","4","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","Grade 6 (London)","57936","68990","Head of Section/Chief Marine Officer","1","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","Grade 7 (London)","47847","57432","Head of Team/Deputy Chief Marine Officer","3","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","SEO (London)","35590","42542","Senior Executive Officer/District Marine Officer","2","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","EO (London)","25363","29063","Executive Officer/Marine Officer","1","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Networks","3","AO (London)","21024","22816","Administrative Officer","1","Communications"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","Grade 6 (national)","52708","63170","Head of Section/Chief Marine Officer","4","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","Grade 7 (national)","43221","51814","Head of Team/Deputy Chief Marine Officer","5","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","SEO (national)","33072","39404","Senior Executive Officer/District Marine Officer","16","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","HEO (national)","26745","30923","Higher Executive Officer/Senior Marine Officer","36","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","EO (national)","22698","25903","Executive Officer/Marine Officer","63","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","AO (national)","18148","19657","Administrative Officer","23","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","AA (national)","15279","16118","administrative Assistant","25","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","Grade 7 (London)","47847","57432","Head of Team/Deputy Chief Marine Officer","1","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","SEO (London)","35590","42542","Senior Executive Officer/District Marine Officer","1","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","HEO (London)","29848","34584","Higher Executive Officer/Senior Marine Officer","1","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operations","2","EO (London)","25363","29063","Executive Officer/Marine Officer","1","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","Grade 6 (national)","52708","63170","Head of Section/Chief Marine Officer","2","Human Resources"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","Grade 7 (national)","43221","51814","Head of Team/Deputy Chief Marine Officer","4","Human Resources"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","SEO (national)","33072","39404","Senior Executive Officer/District Marine Officer","2","Human Resources"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","HEO (national)","26745","30923","Higher Executive Officer/Senior Marine Officer","10","Human Resources"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","EO (national)","22698","25903","Executive Officer/Marine Officer","7","Human Resources"
"Department for Environment, Food and Rural Affairs","Marine Management Organisation","Operational Support","4","AO (national)","18148","19657","Administrative Officer","5","Human Resources"
