Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,7708606,8063,655,759,11769,12.3,956,10.6
St Magnus House,362480,1041,81,91,4475,12.9,348,11.4
Southgate House,232955,762,37,44,6296,20.6,306,17.3
Clarendon Quay,204540,511,36,43,5682,14.2,400,11.9
Foss House,,,,,,,,
