post_date,Category,Spend,,,,
01/08/13,Travel/Airlines,951.90,,,,
01/08/13,Professional Services,574.90,,,,
01/08/13,Computers/Peripherals/Software,648.00,,,,
01/08/13,Subscriptions,"1,258.80",,,,
01/08/13,Travel/Airlines,"2,222.09",,,,
01/08/13,Electrical Parts/Equipment,"1,098.00",,,,
01/08/13,Travel/Airlines,952.50,,,,
01/08/13,Travel/Airlines,576.52,,,,
01/08/13,Travel/Airlines,576.52,,,,
01/08/13,Durable Goods,818.40,,,,
01/08/13,Catering,802.70,,,,
01/08/13,Catering,789.21,,,,
01/08/13,Motoring,834.00,,,,
01/08/13,Hotels,523.39,,,,
01/08/13,Hotels,"1,035.50",,,,
01/08/13,Travel/Airlines,939.62,,,,
01/08/13,Stationery Stores,925.89,,,,
01/08/13,Stationery Stores,654.35,,,,
01/08/13,Stationery Stores,530.42,,,,
02/08/13,Travel/Airlines,"3,108.33",,,,
02/08/13,Travel/Airlines,"3,108.33",,,,
02/08/13,Travel/Airlines,"2,437.57",,,,
02/08/13,Travel/Airlines,"2,063.94",,,,
02/08/13,Travel/Airlines,"2,063.94",,,,
02/08/13,Travel/Airlines,"1,795.61",,,,
02/08/13,Travel/Airlines,904.10,,,,
02/08/13,Travel/Airlines,"(3,611.35)",,,,
02/08/13,Hotels,"4,290.42",,,,
02/08/13,Hotels,"3,336.69",,,,
02/08/13,Travel/Airlines,788.75,,,,
02/08/13,Travel/Airlines,788.75,,,,
02/08/13,Computers/Peripherals/Software,944.28,,,,
02/08/13,Travel/Airlines,"2,366.75",,,,
02/08/13,Travel/Airlines,"1,433.25",,,,
02/08/13,Travel/Airlines,"(2,367.15)",,,,
02/08/13,Travel/Airlines,"(1,433.25)",,,,
02/08/13,Telecommunication Equipment,636.00,,,,
02/08/13,Travel/Airlines,522.20,,,,
02/08/13,Travel/Airlines,905.43,,,,
02/08/13,Travel/Airlines,869.65,,,,
02/08/13,Travel/Airlines,869.65,,,,
02/08/13,Travel/Airlines,"1,733.65",,,,
02/08/13,Travel/Airlines,869.65,,,,
02/08/13,Travel/Airlines,(577.51),,,,
05/08/13,Hotels,"1,444.91",,,,
05/08/13,Hotels,"1,444.91",,,,
05/08/13,Hotels,"1,402.58",,,,
05/08/13,Travel/Airlines,727.70,,,,
05/08/13,Travel/Airlines,"(1,840.40)",,,,
05/08/13,Travel/Airlines,"1,410.50",,,,
05/08/13,Travel/Airlines,925.29,,,,
05/08/13,Travel/Airlines,"1,314.09",,,,
05/08/13,Computers/Peripherals/Software,"1,167.82",,,,
05/08/13,Travel/Airlines,"1,217.15",,,,
05/08/13,Travel/Airlines,"(1,369.25)",,,,
05/08/13,Travel/Airlines,(669.25),,,,
05/08/13,Hardware Equipment/Supplies,650.89,,,,
05/08/13,Hardware Equipment/Supplies,791.27,,,,
05/08/13,Professional Services,"1,420.03",,,,
05/08/13,Hotels,"1,056.73",,,,
05/08/13,Hardware Equipment/Supplies,812.12,,,,
05/08/13,Travel/Airlines,"3,923.25",,,,
05/08/13,Travel/Airlines,919.26,,,,
05/08/13,Travel/Airlines,"1,176.68",,,,
05/08/13,Travel/Airlines,740.90,,,,
05/08/13,Travel/Airlines,706.65,,,,
05/08/13,Travel/Airlines,"2,927.80",,,,
05/08/13,Travel/Airlines,675.67,,,,
05/08/13,Travel/Airlines,675.67,,,,
05/08/13,Travel/Airlines,675.67,,,,
05/08/13,Travel/Airlines,609.54,,,,
05/08/13,Travel/Airlines,923.72,,,,
05/08/13,Travel/Airlines,923.72,,,,
05/08/13,Travel/Airlines,"1,977.12",,,,
06/08/13,Travel/Airlines,(853.87),,,,
06/08/13,Travel/Airlines,(648.94),,,,
06/08/13,Travel/Airlines,(678.52),,,,
06/08/13,Computers/Peripherals/Software,814.06,,,,
06/08/13,Hotels,687.81,,,,
06/08/13,Hotels,514.03,,,,
06/08/13,Hotels,"1,198.39",,,,
06/08/13,Hotels,"1,091.19",,,,
06/08/13,Travel/Airlines,"8,094.55",,,,
06/08/13,Travel/Airlines,"2,675.32",,,,
06/08/13,Hotels,"2,369.94",,,,
06/08/13,Travel/Airlines,(514.60),,,,
06/08/13,Travel/Airlines,547.80,,,,
07/08/13,Car Hire,791.25,,,,
07/08/13,Travel/Airlines,"2,770.35",,,,
07/08/13,Computers/Peripherals/Software,951.60,,,,
07/08/13,Travel/Airlines,558.75,,,,
07/08/13,Professional Services,"1,282.20",,,,
07/08/13,Electrical Parts/Equipment,516.90,,,,
07/08/13,Computers/Peripherals/Software,998.76,,,,
07/08/13,Travel/Airlines,"2,148.82",,,,
07/08/13,Computers/Peripherals/Software,"1,473.81",,,,
07/08/13,Travel/Airlines,"1,379.41",,,,
07/08/13,Travel/Airlines,"2,651.87",,,,
07/08/13,Travel/Airlines,"2,086.36",,,,
07/08/13,Stationery Stores,922.51,,,,
08/08/13,Travel/Airlines,721.83,,,,
08/08/13,Travel/Airlines,721.83,,,,
08/08/13,Travel/Airlines,"(1,528.11)",,,,
08/08/13,Training,988.20,,,,
08/08/13,Training,"2,361.30",,,,
08/08/13,Electrical Parts/Equipment,753.32,,,,
08/08/13,Hotels,"1,127.42",,,,
08/08/13,Hotels,892.00,,,,
08/08/13,Hotels,964.57,,,,
08/08/13,Lumber/Build. Supply Stores,"1,436.52",,,,
08/08/13,Lumber/Build. Supply Stores,595.22,,,,
08/08/13,Travel/Airlines,528.00,,,,
08/08/13,Furniture/Equip Stores,"1,346.44",,,,
08/08/13,Hotels,"1,500.65",,,,
08/08/13,Hotels,"1,523.73",,,,
08/08/13,Travel/Airlines,910.90,,,,
08/08/13,Travel/Airlines,563.00,,,,
08/08/13,Travel/Airlines,856.20,,,,
08/08/13,Travel/Airlines,814.28,,,,
08/08/13,Travel/Airlines,"2,333.90",,,,
08/08/13,Travel/Airlines,"(1,073.90)",,,,
08/08/13,Travel/Airlines,"(2,419.70)",,,,
08/08/13,Travel/Airlines,535.56,,,,
08/08/13,Travel/Airlines,"1,998.25",,,,
08/08/13,Travel/Airlines,"1,998.25",,,,
08/08/13,Travel/Airlines,"1,998.25",,,,
08/08/13,Travel/Airlines,"1,998.25",,,,
09/08/13,Travel/Airlines,"1,328.90",,,,
09/08/13,Travel/Airlines,(722.60),,,,
09/08/13,Hotels,"2,623.80",,,,
09/08/13,Hotels,"1,430.39",,,,
09/08/13,Hotels,"2,623.80",,,,
09/08/13,Hotels,"1,049.94",,,,
09/08/13,Travel/Airlines,"3,161.35",,,,
09/08/13,Catering,557.00,,,,
09/08/13,Electrical Parts/Equipment,"1,015.32",,,,
09/08/13,Electrical Parts/Equipment,"1,015.32",,,,
09/08/13,Travel/Airlines,604.72,,,,
09/08/13,Travel/Airlines,"1,127.47",,,,
09/08/13,Hotels,665.52,,,,
12/08/13,Hotels,"2,400.64",,,,
12/08/13,Travel/Airlines,554.20,,,,
