ICT,,,,,,,
Department,Organisation Name,HMG Ref Number,Project name,Basis for expenditure approval,Total Value Requested (£),Total Value Approved (£),Date of approval
HMRC,,HMG3513,Government Gateway Transformation Programme,"The current Government Gateway contact expires March 2018 and this programme will deliver the replacement gateway, decommission of GG2, migration of HMRC services to the new gateway and support for other Government Departments to migrate.","£3,980,000.00","£3,980,000.00",May-17
