Transaction Date,Value,Supplier,Comments
04/01/16,906.0000,FRANCOTYP,Franking Machine Top Up
08/01/16,906.0000,FRANCOTYP,Franking Machine Top Up
14/01/16,500.0000,FRANCOTYP,Franking Machine Top Up
,,,
,,,
,,,
,,,
,,,
