Appointing Minister,Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
"Prime Minister, The Rt Hon David Cameron MP",Gabby Bertin,13-Oct-11,Mail on Sunday,Lunch
,Gabby Bertin,14-Oct-11,GQ,Lunch
,Gabby Bertin,20-Oct-11,Annual Newspaper Conference,Lunch
,Gabby Bertin,08-Nov-11,London Transport Museum,Reception
,Gabby Bertin,30-Nov-11,Daily Mail,Lunch
,Gabby Bertin,06-Dec-11,Glamour Magazine,Lunch
,Gabby Bertin,06-Dec-11,Daily Mail,Dinner
,Gabby Bertin,12-Dec-11,Portland ,Lunch
,Tim Colbourne,13-Oct-11,BACTA,Lunch
,Tim Colbourne,04-Nov-11,Visit England,Breakfast
,Tim Colbourne,17-Nov-11,Global Justice Campaign for Sergei Magnitsky,Dinner
,Tim Colbourne,15-Dec-11,BBC,Tickets to preview screening of Dr Who
,Andrew Cooper,03-Oct-11,Hanover Comms,Party
,Andrew Cooper,04-Oct-11,Policy Exchange,Party
,Andrew Cooper,20-Oct-11,Edelman,Lunch
,Andrew Cooper,24-Nov-11,The Guardian,Lunch
,Andrew Cooper,05-Dec-11,Daily Telegraph,Lunch
,Andrew Cooper,06-Dec-11,BBC Radio 4,Lunch
,Alex Dawson,10-Dec-11,Premier League,Ticket to rugby match
,Alex Dawson,31-Dec-11,Premier League,Ticket to football match
,Christine Jardine,06-Dec-11,Daily Record,Lunch
,Sean Kemp,18-Oct-11,Reuters,Lunch
,Sean Kemp,04-Nov-11,Times,Lunch
,Sean Kemp,15-Dec-11,The Sun,Lunch
,Craig Oliver,17-Oct-11,"John Ryley, Sky News",Lunch
,Craig Oliver,20-Oct-11,Newspaper Society,Lunch
,Craig Oliver,24-Oct-11,Cancer Research,Lunch
,Craig Oliver,01-Nov-11,Channel 4,Lunch
,Craig Oliver,08-Nov-11,Mail on Sunday,Lunch
,Craig Oliver,08-Nov-11,Evening Standard,Drinks
,Craig Oliver,10-Nov-11,Guardian,Lunch
,Craig Oliver,11-Nov-11,BBC,Lunch
,Craig Oliver,16-Nov-11,Spectator,Dinner
,Craig Oliver,21-Nov-11,BBC,Dinner
,Craig Oliver,01-Dec-11,Spectator,Lunch
,Craig Oliver,08-Dec-11,Telegraph,Lunch
,Craig Oliver,12-Dec-11,Sky,Drinks
,Craig Oliver,16-Dec-11,Sun Military Awards,Dinner
,Michael Salter,04-Oct-11,Policy Exchange ,Reception
,Michael Salter,18-Oct-11,BBC,Lunch
,Michael Salter,19-Oct-11,Gaydar Radio,Drinks reception
,Michael Salter,03-Nov-11,Stonewall,Reception/awards show
,Michael Salter,01-Dec-11,Bloomberg,Dinner
,Alan Sendorek ,15-Nov-11,Evening Standard,Lunch
,Alan Sendorek ,30-Nov-11,Mail on Sunday,Dinner
,Alan Sendorek ,31-Dec-11,Premier League,Ticket to football match
,Rohan Silva,13-Oct-11,Whitechapel Art Gallery,Dinner
,Rohan Silva,19-21 October 2011,Cambridge University,Overnight accommodation and meals
,Rohan Silva,01-Dec-11,Spectator,Dinner
,Rohan Silva,06-Dec-11,Young Global Leaders,Breakfast
,Olly Grender,24-Oct-11,Bafta,Lunch
,Olly Grender,01-Nov-11,The Times,Lunch
,Olly Grender,09-Nov-11,The Times,Lunch
,Olly Grender,28-Nov-11,Guardian,Dinner
,Olly Grender,14-Dec-11,Total Politics/Bite Back Publishing,Lunch
,Julian Glover,30-Nov-11,London Philharmonic Orchestra,Concert ticket
,Polly Mackenzie,04-Nov-11,Bell Pottinger Lunch,
,Polly Mackenzie,16-Nov-11,Spectator,Awards Dinner
