Posted_Date,Merchant_Name,Invoice_Net_Line_Amount
05/01/2015,HRG UK,746.08
05/01/2015,HRG UK,704.89
05/01/2015,HRG UK,789.29
05/01/2015,HRG UK,471.28
05/01/2015,HRG UK,471.28
05/01/2015,HRG UK,701.14
02/01/2015,AIR BERLIN PLC & CO. UK,688.61
04/01/2015,ALITALIA DIRECT SALES UK,677.2
05/01/2015,BRITISH AIRWAYS UK BSP,774.49
02/01/2015,BRUSSELS AIRLINES UK BSP,"1,199.41"
06/01/2015,BRUSSELS AIRLINES UK BSP,832.21
06/01/2015,BRUSSELS AIRLINES UK BSP,"1,157.41"
05/01/2015,DEUTSCHE LUFTHANSA,"1,157.10"
05/01/2015,DEUTSCHE LUFTHANSA,958.1
05/01/2015,EMIRATES AIRLINES BSP,"1,817.04"
02/01/2015,ETHIOPIAN AIRLINES UK,626.56
06/01/2015,ETHIOPIAN AIRLINES UK,"2,294.26"
01/01/2015,KENYA AIRWAYS,688.36
01/01/2015,KENYA AIRWAYS,553.6
01/01/2015,KENYA AIRWAYS,681.6
06/01/2015,KLM UK,750
01/01/2015,SOUTH AFRICAN AIRWAYS BSP SALES,963.27
06/01/2015,SOUTH AFRICAN AIRWAYS BSP SALES,807.56
04/01/2015,TURKISH AIRLINES - BSP UK,"1,546.80"
05/01/2015,VAA BSP UK,793.74
22/01/2015,AIR CANADA,"1,007.40"
22/01/2015,AIR CANADA,"1,007.40"
08/01/2015,AIR FRANCE UK BSP GBP,720.38
14/01/2015,AIR FRANCE UK BSP GBP,925.6
28/01/2015,AIR FRANCE UK BSP GBP,510.6
31/01/2015,AIR FRANCE UK BSP GBP,565.78
22/01/2015,AIR NEW ZEALAND,820.6
22/01/2015,AIR NEW ZEALAND,792.3
13/01/2015,AMERICAN AIRLINES,612.9
06/01/2015,BRITISH AIRWAYS UK BSP,604.89
06/01/2015,BRITISH AIRWAYS UK BSP,973.56
06/01/2015,BRITISH AIRWAYS UK BSP,850.56
07/01/2015,BRITISH AIRWAYS UK BSP,"1,402.26"
07/01/2015,BRITISH AIRWAYS UK BSP,873.06
07/01/2015,BRITISH AIRWAYS UK BSP,756.41
07/01/2015,BRITISH AIRWAYS UK BSP,756.41
07/01/2015,BRITISH AIRWAYS UK BSP,580.16
07/01/2015,BRITISH AIRWAYS UK BSP,"2,341.96"
07/01/2015,BRITISH AIRWAYS UK BSP,583.44
07/01/2015,BRITISH AIRWAYS UK BSP,650.89
07/01/2015,BRITISH AIRWAYS UK BSP,756.41
07/01/2015,BRITISH AIRWAYS UK BSP,776.41
07/01/2015,BRITISH AIRWAYS UK BSP,603.19
07/01/2015,BRITISH AIRWAYS UK BSP,984.36
07/01/2015,BRITISH AIRWAYS UK BSP,749.66
