"AcademicYear","Participation_Total_Learners","Participation_English","Participation_English_Entry_Level","Participation_English_Level_1","Participation_English_Level_2","Participation_Maths","Participation_Maths_Entry_Level","Participation_Maths_Level_1","Participation_Maths_Level_2","Participation_ESOL","Participation_ESOL_Entry_Level","Participation_ESOL_Level_1","Participation_ESOL_Level_2","Achievement_Total_Learners","Achievement_English","Achievement_English_Entry_Level","Achievement_English_Level_1","Achievement_English_Level_2","Achievement_Maths","Achievement_Maths_Entry_Level","Achievement_Maths_Level_1","Achievement_Maths_Level_2","Achievement_ESOL","Achievement_ESOL_Entry_Level","Achievement_ESOL_Level_1","Achievement_ESOL_Level_2"
"2008/09","945100","579500","136700","248700","245600","517100","108700","241800","218600","108700","161000","24100","9300","639100","91800","91800","144000","129000","293000","68300","138900","111400","135800","116700","15600","6100"
"2009/10","909100","555700","112400","226700","252100","525000","101400","236800","228800","101400","150100","24100","9700","614600","79200","79200","130200","144700","311100","68400","138400","126200","128200","108100","15900","6600"
"2010/11","961800","639000","103800","285900","286800","630500","98500","314800","265700","98500","135500","24200","9600","595600","74400","74400","134100","139900","324300","70900","151300","128500","122100","101700","16400","6500"
"2011/12","1083000","782500","107600","379500","335400","772500","102400","396500","323400","102400","118000","19000","7100","633000","79700","79700","175600","152800","386400","79700","191600","142400","110000","93700","13200","5200"
"2012/13","1049600","765800","120200","340900","327900","748200","95500","346800","334800","95500","123200","21700","7500","597300","90500","90500","152000","116600","357100","73800","165200","129600","117500","99100","15700","5700"
"2013/14","697300","512100","73100","222600","224700","483300","53700","221000","219100","53700","85400","14000","5300","-","-","-","-","-","-","-","-","-","-","-","-","-"
