Entity,GL Date,Merchant name,Amount,Description
DEFRA,15/05/2017,RIPENCCCOM,989.6,This is for the sale of IP address - we need to subscribe to this body
DEFRA,18/05/2017,MARKS&SPENCER PLC,584,Refreshment for the water market opening launch event to thank stakeholders on the 19th April 2017
APHA,10/05/2017,WWW.REGISTERFOREVENTS,955.99,Conference 
CEFAS,29/04/2017,BRITISH A,681.76,Return economy flight for two people from London to Spain to attend Micromilling training. 
CEFAS,02/05/2017,WWW.HAPPENINGCONFERENC,587.1,Registration for one person to attend the 18th European Association of Fish Pathology international conference on diseases of fish and shellfish
CEFAS,02/05/2017,WWW.HAPPENINGCONFERENC,793.35,Registration for one person to attend the 18th European Association of Fish Pathology international conference on diseases of fish and shellfish
CEFAS,02/05/2017,HOLIDAY INN-RECEPTION,995.89,Accommodation for two people for three nights in Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,02/05/2017,WWW.HAPPENINGCONFERENC,570,Registration for one person to attend the 18th European Association of Fish Pathology international conference on diseases of fish and shellfish
CEFAS,03/05/2017,BRITISH A,853.31,Return economy plus flight from London to Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,03/05/2017,ZRNO SOLI RESTORAN,1419.48,Expenses associated with workshop dinner to be reclaimed through commission funded per diem. 
CEFAS,03/05/2017,WWW.HAPPENINGCONFERENC,584.25,Registration for one person to attend the 18th European Association of Fish Pathology international conference on diseases of fish and shellfish
CEFAS,03/05/2017,FLYBE.COM A4FNLX       0,523.55,"Return economy flight for three people from Southampton to Dublin to attend the International Conference on Molluscan Shellfish Safety, Galway Ireland. "
CEFAS,04/05/2017,SACKMAKER,645.19,Sacks for scallop sampling scheme
CEFAS,04/05/2017,WWW.HAPPENINGCONFERENC,676.5,Registration for one person to attend the 18th European Association of Fish Pathology international conference on diseases of fish and shellfish
CEFAS,04/05/2017,HOLIDAY INN-RECEPTION,673.62,Accommodation for one person for four nights in Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,04/05/2017,HOLIDAY INN-RECEPTION,828.92,Accommodation for one person for five nights in Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,04/05/2017,OMAN AIR,1910.01,Return economy flight for three people from London to Muscat for Ministry of Agriculture and Fisheries Wealth to develop laboratory diagnostic capabilities for aquatic animal diseases. 
CEFAS,04/05/2017,WWW.EAERE.ORG,520.13,"Registration fee for one person to attend the European Association of Environmental and Resource Economists, 23rd Annual Conference. "
CEFAS,05/05/2017,ICES,656.59,ICES Stock Assessment Training in Copenhagen 
CEFAS,05/05/2017,HOTEL CITY ApS,1171.02,Accommodation for one person for ten nights in Copenhagen for the North Sea working group
