"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC04C","Corporate Natural Gas - CO2 (kg)","N/A","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC04C","Corporate Natural Gas - CO2 (kg)","NC","Number","2015/2016","2015-04-01","2016-03-31","Annual"
