LSOA code (2011),LSOA name (2011),MSOA (2011),Ward ,Local Authority District code (2013),Local Authority District name (2013),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",EST Percentage ,EST Ward Rank, EST District rank ,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),CAYP Percentage ,CAYP Ward rank ,CYAP District Rank ,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),AS Percentage,AS Ward Rank,AS District Rank,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),BTHAS Percentage ,BTHAS Ward Rank,BTHAS District Rank,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),GB Percentage ,GB Ward Rank,GB District Rank,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),WB Percentage ,WB Ward Rank ,WB District Rank,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),LE Percentage ,LE Ward Rank,LE District rank ,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),IND Percentage ,IND Ward Rank,IND District Rank ,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),OTD Percentage,OTD Ward Rank,OTD District Rank
E01010878,Calderdale 015A,E02002258,Brighouse,E08000033,Calderdale,"16,951",6,51.61%,3,66,"20,834",7,63.43%,4,73,"12,926",4,39.36%,3,53,"29,170",9,88.81%,4,91,"27,436",9,83.53%,7,109,"16,774",6,51.07%,2,26,260,1,0.79%,1,3,373,1,1.14%,1,6,"7,084",3,21.57%,1,10
E01010949,Calderdale 019E,E02002262,Brighouse,E08000033,Calderdale,"17,548",6,53.43%,4,69,"18,096",6,55.10%,3,64,"15,933",5,48.51%,4,67,"30,737",10,93.58%,5,106,"26,831",9,81.69%,6,104,"20,513",7,62.46%,4,45,415,1,1.26%,2,8,530,1,1.61%,2,9,"7,472",3,22.75%,2,12
E01010879,Calderdale 015B,E02002258,Brighouse,E08000033,Calderdale,"28,186",9,85.82%,6,110,"28,923",9,88.06%,6,111,"25,519",8,77.70%,7,106,"16,458",6,50.11%,1,23,"5,968",2,18.17%,1,18,"29,288",9,89.17%,7,112,"12,810",4,39.00%,5,87,"14,525",5,44.22%,6,113,"8,068",3,24.56%,3,17
E01010876,Calderdale 019B,E02002262,Brighouse,E08000033,Calderdale,"21,987",7,66.94%,5,83,"26,865",9,81.80%,5,99,"16,755",6,51.01%,5,68,"30,928",10,94.17%,6,111,"19,403",6,59.08%,4,71,"29,057",9,88.47%,5,106,"9,622",3,29.30%,4,70,"8,548",3,26.03%,4,75,"11,245",4,34.24%,4,32
E01010880,Calderdale 019D,E02002262,Brighouse,E08000033,Calderdale,"3,062",1,9.32%,1,14,"3,643",2,11.09%,1,8,"2,932",1,8.93%,1,17,"21,802",7,66.38%,3,48,"18,082",6,55.05%,3,67,"14,465",5,44.04%,1,14,"20,142",7,61.33%,7,123,"20,895",7,63.62%,7,125,"13,914",5,42.36%,5,47
E01010875,Calderdale 019A,E02002262,Brighouse,E08000033,Calderdale,"28,753",9,87.54%,7,112,"30,251",10,92.11%,7,118,"25,382",8,77.28%,6,104,"31,917",10,97.18%,7,123,"22,676",7,69.04%,5,88,"29,222",9,88.97%,6,109,"13,321",5,40.56%,6,92,"11,285",4,34.36%,5,96,"14,869",5,45.27%,6,51
E01010877,Calderdale 019C,E02002262,Brighouse,E08000033,Calderdale,"14,415",5,43.89%,2,52,"16,461",6,50.12%,2,60,"12,000",4,36.54%,2,50,"19,637",6,59.79%,2,35,"11,720",4,35.68%,2,45,"19,078",6,58.09%,3,37,"1,698",1,5.17%,3,17,"1,012",1,3.08%,3,16,"16,322",5,49.70%,7,62
E01010984,Calderdale 022D,E02002265,Calder,E08000033,Calderdale,"13,117",4,39.94%,1,49,"14,252",5,43.39%,1,51,"11,773",4,35.85%,1,48,"30,192",10,91.93%,6,102,"22,999",8,70.02%,6,90,"22,241",7,67.72%,3,58,"2,188",1,6.66%,1,21,"1,210",1,3.68%,3,20,"18,556",6,56.50%,1,85
E01010882,Calderdale 004B,E02002247,Calder,E08000033,Calderdale,"30,616",10,93.22%,7,123,"28,872",9,87.91%,7,110,"30,525",10,92.94%,5,124,"17,034",6,51.86%,4,25,"9,147",3,27.85%,4,31,"20,176",7,61.43%,1,42,"5,107",2,15.55%,6,52,"3,060",1,9.32%,6,44,"18,840",6,57.36%,2,88
E01010923,Calderdale 004F,E02002247,Calder,E08000033,Calderdale,"23,649",8,72.00%,3,89,"17,593",6,53.57%,2,63,"29,455",9,89.68%,3,118,"32,031",10,97.52%,7,125,"27,563",9,83.92%,8,110,"24,623",8,74.97%,4,72,"5,738",2,17.47%,7,57,"3,377",2,10.28%,7,46,"19,889",7,60.56%,3,92
