"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC13","Schools Waste - Cost (£)","85438.57 £","Financial","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC13","Schools Waste - Cost (£)","84389.54 £","Financial","2015/2016","2015-04-01","2016-03-31","Annual"
